Gene_ID,Gene_Name,CCT1,CCT2,VCT1,VCT2,VCT3,DCT1,DCT2,logFC.CCT,logFC.DCT,relative.CCT,relative.DCT,PValue
ENSMUSG00000096826.1,Ccl27b,16.86,21.93,0,0,8.51,26.7,34.64,2.8326346256,3.795441828,7.1237388308,13.8848706103,0.0053461279
ENSMUSG00000097055.1,Gm4419,11.02,17.44,7.48,7.41,7.52,43.11,49.24,1.0348624449,3.0296123339,2.0489182807,8.165902454,5.26171949571895E-06
ENSMUSG00000097224.1,Gm26716,2.61,4.62,0,0,0,8.22,8.23,4.8777573338,6.3382315488,29.40026663,80.9091829699,0.0002894046
ENSMUSG00000097367.1,Gm26718,5.41,4.06,0,0,1.11,4.63,5.33,3.3766937402,3.747185985,10.3869036235,13.428125169,0.0018307069
ENSMUSG00000098498.1,Mir8099-2,0,0.87,0,0,0,6.5,6.14,2.1432036847,5.9635054607,4.4174190112,62.4013554043,0.0010755448
ENSMUSG00000098931.1,Mir8099-1,0,0.87,0,0,0,6.5,6.14,2.1432036847,5.9635054607,4.4174190112,62.4013554043,0.0010755448
ENSMUSG00000099021.1,Rn7s1,514.86,633.94,138.42,103.14,122.29,351.39,368.03,2.3638019867,1.9902005094,5.1472504684,3.9729221102,1.04375789010869E-05
ENSMUSG00000099250.1,Rn7s2,514.86,633.94,138.42,103.14,122.29,351.39,368.03,2.3638019867,1.9902005094,5.1472504684,3.9729221102,1.04375789010869E-05
ENSMUSG00000099969.1,Gm28960,110.11,78.6,45.06,34.36,28.99,93.76,189.9,1.4982227334,2.3927239498,2.82494491,5.2514795696,0.000924642
ENSMUSG00000100039.1,Gm28959,0,1.8,0,0,0,3.64,2.43,3.0126607064,4.9300869985,8.0705148206,30.4862542879,0.0250267913
ENSMUSG00000100190.1,Krtap28-10,114.29,111.82,37.07,47.67,54.96,145.77,147.37,1.3929291627,2.0729873625,2.6261133038,4.2075702598,1.88571402867499E-05
ENSMUSG00000102308.1,2310046K23Rik,50.82,59.42,22.7,16.9,27.47,122.18,126.38,1.4146102334,2.8906767798,2.6658770286,7.4161826698,0.000004883
ENSMUSG00000103273.1,Gm37913,3.56,5.07,2.21,1.49,2.68,16.68,18.98,1.0904065207,3.4100628773,2.1293402831,10.6299497899,5.44028639766369E-06
ENSMUSG00000103933.1,Gm36964,4.37,2.73,0,0,0.89,0,2.11,3.1985430397,1.8379102428,9.1803110717,3.5749182292,0.0446289183
ENSMUSG00000104494.1,Gm37111,1.57,2.32,0.2,0.68,0.52,2.36,3.38,1.8950810638,2.7221961846,3.7194287562,6.5987656598,0.0313895824
ENSMUSG00000104599.1,AC154540.1,42.63,142.5,0,0,5.09,4.27,18.5,5.7808355007,3.0709296014,54.9800190156,8.4031462971,0.0049566848
ENSMUSG00000104750.1,AC034285.1,0,5.43,0,0,0,13.81,25.53,4.4809596067,7.5856843182,22.3307469899,192.0960865834,0.0080891616
ENSMUSG00000105353.1,Gm42428,69.08,101.52,30.46,33.01,45.46,81.72,76.26,1.3484188572,1.5406652961,2.5463290381,2.9092863373,0.0013194377
ENSMUSG00000105617.4,Gm43809,0.79,1.92,0.68,0,0,2.65,2.43,2.1409513308,3.2817187526,4.4105278611,9.7251382055,0.0222739132
ENSMUSG00000106106.2,Rn18s-rs5,3731.76,3654.64,600.82,690.35,952.07,3860.85,3898.37,2.4122682752,2.7891582333,5.3231059263,6.9122635875,2.7459811052165E-05
ENSMUSG00000107191.1,Gm43579,0.96,2.65,0.44,0,0,4.35,5.37,2.8805387712,4.547868383,7.3642508545,23.3907851365,0.0007838921
ENSMUSG00000107379.1,Gm43126,12.19,21.75,0,0,0,11.5,16.09,7.069708937,7.0770517211,134.336630424,135.0220970885,0.0015367154
ENSMUSG00000108483.1,RP23-4H17.3,13.13,43.49,7.58,1.11,3.89,192.85,222.46,2.8379505812,6.008447104,7.1500363736,64.3758246925,2.91527650131253E-05
