Gene_ID,Gene_Name,CCT1,CCT2,VCT1,VCT2,VCT3,DCT1,DCT2,logFC.CCT,logFC.DCT,relative.CCT,relative.DCT,PValue
ENSMUSG00000022215.5,Fitm1,1.09,2.38,0.53,0.66,0.71,15.31,13.65,1.3898289154,4.6654065058,2.6204760354,25.3762415856,1.93664876854635E-06
ENSMUSG00000022931.7,Krtap15,240.87,217.83,64.29,163.42,69.08,7292.42,7219.72,1.3386518803,6.628882471,2.5291487321,98.9674684909,4.52552243955557E-06
ENSMUSG00000024471.12,Myot,2.5,1.72,0.64,1.3,1.05,16.69,15.32,1.0977444384,4.2521669382,2.1401982446,19.0559144742,5.6642816238153E-07
ENSMUSG00000024653.2,Scgb1a1,43.9,35.75,18.66,13.91,16.15,22.51,29.51,1.4047552912,1.0978535427,2.6477286771,2.140360104,0.0002079735
ENSMUSG00000025141.2,Myadml2,1.2,0.62,0.32,0,0.4,3.69,5.04,1.5741538514,3.9874020593,2.9776080305,15.8608926091,0.000374809
ENSMUSG00000025172.2,Ankrd2,0.81,0.68,0.09,0,0.14,2.21,1.88,2.1399615717,3.7464889091,4.4075030618,13.4216385855,0.0241447806
ENSMUSG00000025499.17,Hras,178.4,187.84,104.79,89.62,97.79,196.48,189.04,1.0285636959,1.4073763569,2.0399922847,2.6525434012,8.89582096749821E-06
ENSMUSG00000025557.9,Slc15a1,6.42,6.38,3.04,3.13,3.57,14.56,14.41,1.0658924065,2.5325672876,2.0934644314,5.7860038675,9.4272884879283E-07
ENSMUSG00000026327.8,Serpinb11,18.78,17.64,10.08,10.79,8.56,19.01,18.77,1.0008165641,1.3579650351,2.0011323187,2.5632337256,0.0002330184
ENSMUSG00000026407.17,Cacna1s,1.15,1.45,0.17,0.9,0.43,11.37,10.61,1.2797430989,4.5444913841,2.4279573833,23.3360970175,3.26958581360359E-06
ENSMUSG00000026950.16,Neb,7.51,8.35,2.72,3.4,3.04,86.04,87.03,1.4546084073,5.1876460396,2.740821564,36.4449253333,1.11771201204871E-09
ENSMUSG00000026969.3,Fam166a,3.77,1.77,1.44,0.14,0,2.16,4.88,2.2421003391,2.8710194567,4.7308530194,7.3158193793,0.0265344342
ENSMUSG00000027022.13,Xirp2,0.45,0.46,0.14,0.07,0.17,2.85,2.54,1.2550507674,3.8260613255,2.3867554728,14.1827100476,0.0058170844
ENSMUSG00000027528.12,Fabp9,1.11,0.26,0,0.48,0.15,8.35,7.14,1.3406367186,4.9193505323,2.5326306918,30.2602191821,4.30534559014051E-05
ENSMUSG00000028773.8,Fabp3,8.43,8.1,2.79,2.77,2.79,39.47,37.71,1.6408531867,4.152256031,3.1185020054,17.7808949041,8.88434300090484E-09
ENSMUSG00000028909.17,Ptpru,9.41,6.21,3.91,5.76,2.35,14.58,16.45,1.0558351849,2.3388247161,2.0789213585,5.0589034879,0.0002354109
ENSMUSG00000029151.14,Slc30a3,1.72,0.47,0.34,0.71,0.27,3.19,2.85,1.1984859963,2.8582632685,2.2949870236,7.2514186521,0.0218067389
ENSMUSG00000029158.9,Yipf7,0.71,0.42,0.16,0.12,0,4.92,5.88,1.6987455084,4.9959576551,3.2461856458,31.9104634185,5.23327570400348E-06
ENSMUSG00000030399.1,Ckm,62.51,53,29.93,29.22,24.74,674.37,650.82,1.1607127309,4.9860012202,2.2356784898,31.6909987051,1.41039455368332E-09
ENSMUSG00000030470.14,Csrp3,6.61,6.54,1.18,2.18,1.21,29.23,29.58,2.1306774386,4.5755080011,4.3792306544,23.8432335996,9.47368334537663E-08
ENSMUSG00000030672.12,Mylpf,122.98,116.52,55.43,48.21,51.16,807.81,791.66,1.3297227214,4.3744906804,2.5135436124,20.7421089231,3.60136361439857E-09
ENSMUSG00000030730.12,Atp2a1,33.93,45.79,17.86,15.99,15.42,401.97,398.03,1.3935099172,5.0196280895,2.6271706541,32.4383400362,2.24404839985921E-08
ENSMUSG00000030785.8,Cox6a2,11.91,11.64,5.24,4.06,4.39,89.04,90.81,1.4585621363,4.6841318494,2.7483431315,25.7077572483,1.2639043212603E-09
ENSMUSG00000030996.7,Art1,1.02,1.48,0.6,0.2,0.72,7.1,8.25,1.2132996686,4.0173071811,2.3186734758,16.1930987117,9.30690462410421E-06
ENSMUSG00000031097.14,Tnni2,58.33,57.25,23.39,20.05,20.56,405.76,422.71,1.5502903913,4.6949904647,2.928760845,25.9019797336,0.000000001
ENSMUSG00000031382.14,Asb11,0.98,0.27,0.28,0,0.21,4.28,3.89,1.4375400928,4.2208793261,2.708586365,18.6470993721,0.000305746
ENSMUSG00000031461.4,Myom2,1.07,1.09,0.57,0.38,0.42,6.66,6.28,1.139676373,3.8909009405,2.2033159259,14.8346701179,1.01432166459621E-05
ENSMUSG00000031519.2,Asb5,1.35,1.27,0.29,0.36,0.36,8.99,10.06,1.7163055701,4.766637948,3.2859387078,27.2208072814,1.10208659317112E-07
ENSMUSG00000031543.18,Ank1,0.54,0.53,0.37,0,0.24,5.07,4.83,1.0740003499,4.3120461617,2.10526282,19.8634754228,3.6923900954614E-05
ENSMUSG00000032648.14,Pygm,5.95,8.72,2.55,2.69,2.71,56.3,69.52,1.5388918318,4.9231251824,2.905712231,30.3394953237,2.84435294198855E-07
ENSMUSG00000033196.17,Myh2,0.98,0.6,0.37,0.33,0.26,3.51,2.89,1.1199504411,3.2747083607,2.1733950642,9.6779961188,0.0073777598
ENSMUSG00000035112.17,Wnk4,7.13,10.14,2.49,4.8,4.82,9.74,11.65,1.1881259125,1.7958926359,2.2785656095,3.4723024951,0.0018425119
ENSMUSG00000035831.2,Krt25,2019.01,1779.27,983.35,1018.42,928.76,2222.07,2190.15,1.0762617074,1.6003659869,2.1085653093,3.032202253,0.000002011
ENSMUSG00000036432.8,Siah2,5.98,4.12,2.04,1.95,1.49,4.66,4.7,1.5162743563,1.7084482713,2.8605139029,3.2680912614,0.030187102
ENSMUSG00000037999.13,Arap2,33.18,43.09,15.78,23.09,14.51,25.4,28.26,1.2125262431,1.0119941993,2.3174307734,2.0166968012,0.0019371484
ENSMUSG00000038094.15,Atp13a4,9.13,4.93,2.46,4.41,2.08,14.05,14.69,1.3156338663,2.6380310552,2.4891166913,6.2248154052,0.0002129934
ENSMUSG00000038239.10,Hrc,1.34,1.18,0.39,0.55,0.36,6.37,5.87,1.3979029363,3.8696889706,2.635182604,14.6181513489,2.66165522070577E-05
ENSMUSG00000038670.10,Mybpc2,2.02,1.99,0.56,0.68,0.66,30.1,29.46,1.5851378238,5.7004468466,3.0003645962,52.0002569349,3.82933506068792E-09
ENSMUSG00000039001.12,Rps21,987.13,980.36,444.2,476.04,626.85,993.41,951.49,1.0420998755,1.3312418664,2.0592227187,2.5161917454,0.000633592
ENSMUSG00000040152.8,Thbs1,11.46,8.94,4.72,6.42,5.2,19.5,20.37,1.0053414633,2.2681114998,2.0074185653,4.8169217901,0.000005199
ENSMUSG00000041025.15,Iffo2,30.5,34.11,17.04,16.25,15.13,31.86,32.03,1.1131997764,1.4022785918,2.163249061,2.6431871749,8.84413690531645E-06
ENSMUSG00000041476.12,Smpx,4.93,3.38,2.71,1.23,2.45,43.44,48.61,1.035300573,4.7709541316,2.0495406056,27.3023670869,1.93268211911699E-07
ENSMUSG00000041986.15,Elmod1,13.31,13.43,5.11,6.34,6.24,10.51,10.99,1.2797861563,1.2716427169,2.428029847,2.4143631925,0.0028982132
ENSMUSG00000042451.12,Mybph,2.01,1.67,0.49,0.57,0.5,11.83,11.92,1.6981476693,4.6107077167,3.244840736,24.4321296303,0.000000045
ENSMUSG00000043472.10,Lce3d,1.73,1.41,0,1.19,0.83,11.12,11.58,1.18303845,4.2439120188,2.2705447169,18.9471902805,4.85775762898131E-05
ENSMUSG00000043681.5,Fam25c,5478.3,5401.13,3248.77,2661.49,2868.81,4784.28,4682.7,1.0125196552,1.1177627894,2.0174314528,2.1701019023,6.32100813583151E-05
ENSMUSG00000043866.10,Taf10,55.97,51.71,21.27,20.51,15.61,44.52,50.25,1.6045685739,1.726513359,3.04104797,3.3092708132,0.00000279
ENSMUSG00000043982.2,Krtap19-4,10.63,13.48,4.91,3.88,1.18,394.74,353.25,1.936037585,7.1825100529,3.8265323197,145.2616490542,4.20630934055534E-08
ENSMUSG00000045331.3,2310079G19Rik,2.15,2.05,1.21,0.56,1.33,4.41,3.4,1.0454145099,2.1994435039,2.0639592827,4.593021395,0.0347081365
ENSMUSG00000045475.5,Lce3c,21.17,17.3,8.35,7.52,5.35,93.92,92.08,1.5433669788,4.115597447,2.9147395567,17.3347778975,2.04374850424706E-08
ENSMUSG00000048455.9,Sprr1b,17.5,14.6,1.44,9.51,2.47,204.2,197.25,1.9294346504,5.870241307,3.809059042,58.4949959422,1.17023254004166E-06
ENSMUSG00000048643.4,Krtap19-9a,8.01,9.38,0,6.1,2.39,972.52,961.29,1.6919424921,8.7735524683,3.2309143189,437.6253403013,1.29009522304243E-06
ENSMUSG00000049134.15,Nrap,0.5,0.77,0.36,0.16,0.22,5.66,4.98,1.1045408484,4.2416612103,2.150304317,18.917653029,2.3556492131108E-05
ENSMUSG00000050635.1,Sprr2f,0,0.57,0,0,0,2.92,4.4,1.6955449979,5.1921289841,3.2389922089,36.5583482499,0.0026359759
ENSMUSG00000051747.14,Ttn,14.09,16.42,4.09,4.88,7.85,98.39,87.95,1.539364893,4.4459643398,2.9066651732,21.79558981,3.5230735827441E-07
ENSMUSG00000051802.2,Krtap19-5,43.91,44.77,3.39,17.4,4.05,1481.2,1511.88,2.5269768167,7.9052044418,5.7636263764,239.7196631932,5.43989560674231E-06
ENSMUSG00000052374.14,Actn2,2.82,2.92,1.23,1.66,1.48,15.33,15.72,1.0287473929,3.717598624,2.0402520515,13.1555405528,9.63009391366422E-08
ENSMUSG00000053797.10,Krt16,13.04,12.84,4.59,10.08,4,60.21,59.88,1.1571721666,3.6661783251,2.2301985663,12.6949105556,3.31513304955279E-06
ENSMUSG00000054889.9,Dsp,203.6,185.16,87.64,100.28,92,159.55,163.39,1.1748145467,1.2142450092,2.2576385796,2.320193308,2.83156021110643E-06
ENSMUSG00000055095.2,Spink6,1.1,3.17,0.22,1.37,0.3,3.4,3.22,1.6767781302,2.5764546544,3.1971316017,5.9647209876,0.0269164725
ENSMUSG00000055193.4,Klk15,0.6,0.38,0.27,0,0.31,2.37,3.28,1.0153592536,3.5676802898,2.021406192,11.8571081783,0.0065787968
ENSMUSG00000055204.14,Ankrd17,29.02,31.97,14.74,16.34,18.24,25.83,27.79,1.0038062701,1.1238252485,2.0052835775,2.1792402404,0.0001685305
ENSMUSG00000056596.8,Trnp1,5.08,9.17,3.38,3.28,4.3,10.68,9.6,1.0542210319,1.858731679,2.0765966671,3.6268867029,0.0016116899
ENSMUSG00000056952.13,Tatdn2,6.29,8.78,3.21,1.96,3.66,6.62,7.43,1.432663868,1.6347860488,2.6994469556,3.1054149339,0.0084089943
ENSMUSG00000057003.12,Myh4,10.02,9.06,1.7,1.94,1.99,95.79,93.65,2.3809085302,5.9814738573,5.2086465089,63.1834082991,4.72648221680854E-10
ENSMUSG00000057174.4,Krtap19-9b,62.29,57.26,25.85,42.25,21.43,5620.9,5460.1,1.1235048705,7.9619726855,2.1787563522,249.3403719456,8.27347281554027E-08
