LC_Up_Regulated_Genes,,DCT1,DCT2,DCT3,ERST2,ERST3,LC1,LC2,LC3,DCT-average,ERST-average,LC-average
Gm4553,DCT_ERST_DCT_UP,112.07,108,63.95,1.7,1.31,0,0,0,94.67333333,1.505,0
4930438A08Rik,DCT_ERST_DCT_UP,111.72,105.93,99.19,28.74,25.89,0,0,0,105.6133333,27.315,0
Gm11032,LC_DCT_LC_UP,111.27,72.46,148.21,131.67,121.22,691.6,430.5,833.37,110.6466667,126.445,651.8233333
Gpnmb,DCT_ERST_DCT_UP,109.76,111.72,130.27,30.84,31.14,7.09,6.4,6.34,117.25,30.99,6.61
Ctsc,DCT_ERST_DCT_UP,108.92,107.89,180.47,40.66,44.18,10.57,12.15,11.86,132.4266667,42.42,11.52666667
Eif3d,DCT_ERST_DCT_UP,107.25,104.93,106.59,51.76,49.46,52.93,65.67,53.88,106.2566667,50.61,57.49333333
Hmga1,DCT_ERST_DCT_UP,107.14,106.61,124.01,53.89,44.88,2.44,3.44,1.36,112.5866667,49.385,2.413333333
Unc13d,DCT_ERST_DCT_UP,106.57,105.84,92.58,14.18,18.35,33.24,28.96,33.74,101.6633333,16.265,31.98
Elovl4,LC_ERST_UP,106.54,108.94,117.82,748.33,782.63,1.88,1.13,1.59,111.1,765.48,1.533333333
Gm7137,DCT_ERST_DCT_UP,106.46,101.7,76.35,1.24,1.02,0,0,0,94.83666667,1.13,0
Id1,LC_DCT_LC_UP,106.24,103.05,121,132.19,115.73,883.74,1044.55,902.88,110.0966667,123.96,943.7233333
Ypel5,DCT_ERST_DCT_UP,105.63,104.52,104.58,49.01,55.21,25.21,20.42,24.95,104.91,52.11,23.52666667
Vim,LC_DCT_LC_UP,104.87,111.07,70.25,412.81,380.98,2218.24,2538.75,2209.61,95.39666667,396.895,2322.2
Ctse,DCT_ERST_DCT_UP,104.76,107.94,120.61,1.5,1.23,0.38,0.35,0.42,111.1033333,1.365,0.383333333
Gstm1,LC_DCT_LC_UP,104.62,112.52,66.69,141.12,145.86,409.39,403.88,374.01,94.61,143.49,395.76
Lce1c,LC_ERST_UP,103.9,103.31,74.54,1086.33,1105.61,0,0,0,93.91666667,1095.97,0
Golga7b,DCT_ERST_DCT_UP,103.24,105.38,99.08,4.73,4.58,0.59,0.66,0.69,102.5666667,4.655,0.646666667
Gm27754,LC_DCT_LC_UP,102.18,105.03,97.14,131.07,202.04,447.41,443.5,727.02,101.45,166.555,539.31
Snrpd2,DCT_ERST_DCT_UP,99.26,101.11,106.83,55.42,56.95,53.64,53.79,49.82,102.4,56.185,52.41666667
Ttn,LC_DCT_LC_UP,98.39,87.95,51.84,15.22,15.65,357.35,390.21,380.4,79.39333333,15.435,375.9866667
Krt79,LC_ERST_UP,97.42,95.71,132.92,467.36,422.27,0.39,0.84,0.3,108.6833333,444.815,0.51
Krt40,DCT_ERST_DCT_UP,97.23,91.34,89.57,0.18,0.54,0,0,0,92.71333333,0.36,0
Aktip,DCT_ERST_DCT_UP,97.03,98.69,100.6,47.62,48.21,36.87,37.85,35,98.77333333,47.915,36.57333333
Hdac1,DCT_ERST_DCT_UP,96.99,102.77,99.79,52.42,49.71,33.14,34.79,32.12,99.85,51.065,33.35
Rars,DCT_ERST_DCT_UP,96.03,94.93,115.92,43.58,44.71,18.44,20.81,19.1,102.2933333,44.145,19.45
Gpx2,DCT_ERST_DCT_UP,95.52,97.82,61.09,6.19,6.22,0.94,0.81,0.8,84.81,6.205,0.85
Gnas,LC_DCT_LC_UP,95.43,91.42,123.01,217.29,208.54,718.77,843.24,719.08,103.2866667,212.915,760.3633333
Anp32e,DCT_ERST_DCT_UP,94.59,93.85,124.12,43.85,51.27,39.16,38.27,45.14,104.1866667,47.56,40.85666667
Cltb,LC_ERST_UP,94.45,88.33,88.68,284.06,289.42,107.62,127.15,107.33,90.48666667,286.74,114.0333333
Rnf149,DCT_ERST_DCT_UP,93.74,94.69,105.47,36.49,35.38,8.49,9.12,8.77,97.96666667,35.935,8.793333333
Pf4,LC_ERST_UP,93.44,96.48,35.43,542.93,488.88,92.54,83.67,101.26,75.11666667,515.905,92.49
Wdr26,DCT_ERST_DCT_UP,93.39,98.2,85.24,43.66,44.5,33.29,36.56,32.09,92.27666667,44.08,33.98
Psapl1,LC_ERST_UP,93.2,95.54,121.37,692,643.07,0,0,0,103.37,667.535,0
Ctps,DCT_ERST_DCT_UP,93.04,93.55,125.12,10.3,10.5,5.5,5.36,4.92,103.9033333,10.4,5.26
Mreg,DCT_ERST_DCT_UP,91.67,95.35,83.42,43.02,48.28,5.72,4.86,5.46,90.14666667,45.65,5.346666667
RP23-406J21.3,DCT_ERST_DCT_UP,91.56,91.56,65.54,11.88,14.2,26.09,20.15,23.19,82.88666667,13.04,23.14333333
Kctd3,DCT_ERST_DCT_UP,91.31,100.95,84.3,19.61,17.98,18.85,15.55,16.51,92.18666667,18.795,16.97
Tspan3,LC_DCT_LC_UP,91.05,93.02,93.2,81.64,70.39,254.96,286.76,248.14,92.42333333,76.015,263.2866667
Wfdc18,DCT_ERST_DCT_UP,89.43,88.8,54.28,19.69,20.65,0.34,0.94,0,77.50333333,20.17,0.426666667
Ier2,LC_DCT_LC_UP,89.3,85.26,93.56,121.99,108.64,1460.6,1858.65,1496.94,89.37333333,115.315,1605.396667
Cox6a2,LC_DCT_LC_UP,89.04,90.81,68.37,34.77,31.87,707.69,780.61,728.27,82.74,33.32,738.8566667
Gng13,DCT_ERST_DCT_UP,88.35,82.42,47.07,2.76,3.14,1.16,0,0,72.61333333,2.95,0.386666667
Marcksl1,DCT_ERST_DCT_UP,88.03,88.1,85.62,18.09,16.21,10.38,12.13,10.9,87.25,17.15,11.13666667
Krt82,DCT_ERST_DCT_UP,86.1,84.68,103.56,0.36,0.48,0,0,0,91.44666667,0.42,0
Neb,LC_DCT_LC_UP,86.04,87.03,73.59,23.5,23.95,498.35,545.22,485.35,82.22,23.725,509.64
1110038B12Rik,DCT_ERST_DCT_UP,85.94,94.01,75.18,48.67,40.42,26.71,28.29,25.5,85.04333333,44.545,26.83333333
Arg1,DCT_ERST_DCT_UP,85.6,86.25,94.2,9.03,7.64,0.77,0.23,0.15,88.68333333,8.335,0.383333333
Ovol1,DCT_ERST_DCT_UP,84.58,84.46,106.2,39.91,36.91,0.55,0.16,0.39,91.74666667,38.41,0.366666667
H2-Eb1,LC_ERST_UP,84.47,85.88,44.84,436.14,429.56,48.2,55.61,45,71.73,432.85,49.60333333
Tmem80,DCT_ERST_DCT_UP,83.36,80.92,74.36,23.8,26.08,26.76,27.35,30.83,79.54666667,24.94,28.31333333
Ndrg2,LC_DCT_LC_UP,82.89,81.78,83.36,44.46,45.98,349.14,369.31,342.48,82.67666667,45.22,353.6433333
