LC_Up_Regulated_Genes,,DCT1,DCT2,DCT3,ERST2,ERST3,LC1,LC2,LC3,DCT-average,ERST-average,LC-average
Adhfe1,LC_DCT_LC_UP,6.07,6.95,4.54,2.1,2.6,21.11,19.47,17.34,5.853333333,2.35,19.30666667
Robo1,DCT_ERST_DCT_UP,6.06,6.15,9.53,2.39,2.75,2.43,2.41,2.35,7.246666667,2.57,2.396666667
Ccdc68,DCT_ERST_DCT_UP,6.06,6.78,7.72,1.54,1.49,0.64,0.69,0.33,6.853333333,1.515,0.553333333
Ppp1r3c,LC_DCT_LC_UP,6.06,5.48,4.06,1.24,1.55,22.98,22.11,22.85,5.2,1.395,22.64666667
2010109I03Rik,LC_ERST_UP,6.05,5.68,9.3,69.25,65.62,2.09,1.59,1.39,7.01,67.435,1.69
Mafk,LC_DCT_LC_UP,6.04,6.26,6.16,10.57,8.51,24.92,25.03,24.68,6.153333333,9.54,24.87666667
Abi3bp,LC_DCT_LC_UP,6.03,6.02,5.64,13.17,14.04,274.72,261.49,284.36,5.896666667,13.605,273.5233333
Bnc1,DCT_ERST_DCT_UP,6.02,5.54,6.3,2.12,1.88,0.17,0.13,0.23,5.953333333,2,0.176666667
Irgm1,LC_DCT_LC_UP,6.02,5.62,3.69,7.27,7.17,21.14,25.7,24.66,5.11,7.22,23.83333333
Socs3,LC_DCT_LC_UP,6.01,5.87,7.35,7.59,6.63,178.67,205.91,181.73,6.41,7.11,188.77
Fam129a,LC_DCT_LC_UP,5.98,5.48,5.1,5.7,4.75,26.36,27.32,23.85,5.52,5.225,25.84333333
Parp3,LC_DCT_LC_UP,5.98,3.92,3.72,13.45,11.39,33.57,42.24,31.57,4.54,12.42,35.79333333
Slc34a2,DCT_ERST_DCT_UP,5.97,5.85,6.45,2.17,2.27,0,0,0,6.09,2.22,0
Serpina3b,LC_ERST_UP,5.96,7.49,9.91,59.54,61.83,0.04,0,0.1,7.786666667,60.685,0.046666667
Pla2g4b,DCT_ERST_DCT_UP,5.96,7.88,4.71,1.78,1.1,0,0.5,0.17,6.183333333,1.44,0.223333333
Krtap5-3,DCT_ERST_DCT_UP,5.95,5.73,3.58,0.49,0.47,0,0,0,5.086666667,0.48,0
Il13ra1,LC_ERST_UP,5.94,5.83,7.74,25.46,24.94,5.02,4.83,5.62,6.503333333,25.2,5.156666667
Tmem154,LC_ERST_UP,5.92,5.99,8.01,30.41,29.79,5.78,6.22,5.7,6.64,30.1,5.9
Fam83f,LC_ERST_UP,5.92,5.81,6.5,23.47,22.85,0.18,0.16,0.07,6.076666667,23.16,0.136666667
Hsd17b2,LC_ERST_UP,5.9,5.24,8.07,29,31.5,0,0,0,6.403333333,30.25,0
Ehbp1l1,LC_DCT_LC_UP,5.89,5.69,3.68,8.21,7.24,32.88,38.2,32.51,5.086666667,7.725,34.53
Bbx,LC_DCT_LC_UP,5.88,6.23,8.97,7.22,8.21,24.44,26.88,25.63,7.026666667,7.715,25.65
Pou2f3,LC_ERST_UP,5.86,6.81,8.96,25.59,26.01,0.61,0.42,0.35,7.21,25.8,0.46
Fblim1,DCT_ERST_DCT_UP,5.85,6.27,7.02,1.51,0.89,1.27,0.97,0.84,6.38,1.2,1.026666667
Faah,LC_ERST_UP,5.84,6.11,5.96,27.29,22.59,0.57,0.8,0.68,5.97,24.94,0.683333333
Parp10,LC_ERST_UP,5.82,6.61,3.34,39.81,35.2,4.19,2.78,4.33,5.256666667,37.505,3.766666667
C1qtnf6,LC_ERST_UP,5.8,6.22,2.76,35.35,30.21,5.32,6.17,5.02,4.926666667,32.78,5.503333333
Pdgfrl,LC_ERST_UP,5.78,6.54,4.06,97.11,90.54,32.36,33.85,28.17,5.46,93.825,31.46
Medag,LC_DCT_LC_UP,5.77,5.82,4.88,9.38,9.22,36.19,35.09,33.89,5.49,9.3,35.05666667
Far2,LC_ERST_UP,5.76,5.43,7.17,169.42,175.18,0.95,0.92,1.47,6.12,172.3,1.113333333
Klk9,LC_ERST_UP,5.76,4.38,6.07,35.38,40.37,1.28,1.72,1.26,5.403333333,37.875,1.42
Tmem181b-ps,LC_ERST_UP,5.76,6.28,5.34,42.43,47.98,9.97,11.06,8.6,5.793333333,45.205,9.876666667
Atcayos,LC_DCT_LC_UP,5.74,4.51,3.48,5.14,4.56,34.54,25.75,34.39,4.576666667,4.85,31.56
Phf20,LC_DCT_LC_UP,5.73,4.48,12.46,8.67,13.34,43.22,35.59,35.76,7.556666667,11.005,38.19
Crisp3,DCT_ERST_DCT_UP,5.73,5.27,2.24,0.03,0,0,0,0,4.413333333,0.015,0
Adamtsl1,LC_DCT_LC_UP,5.71,5.5,3.59,5.62,4.75,17.58,17.03,17,4.933333333,5.185,17.20333333
Nicn1,LC_DCT_LC_UP,5.7,5.52,7.8,6.07,6.04,17.5,25.97,19.48,6.34,6.055,20.98333333
Wnt7b,LC_ERST_UP,5.7,5.58,5.27,33.43,27.88,0,0,0.03,5.516666667,30.655,0.01
Prr5l,DCT_ERST_DCT_UP,5.69,4.31,8.83,0.78,0.76,1.18,0.9,1.66,6.276666667,0.77,1.246666667
Neo1,LC_DCT_LC_UP,5.69,5.63,6.74,5.52,5.04,20.52,20.95,20.36,6.02,5.28,20.61
Uox,DCT_ERST_DCT_UP,5.68,4.98,5.8,0.1,0.21,0,0,0,5.486666667,0.155,0
Gm25574,LC_DCT_LC_UP,5.67,1.64,17.27,3.8,9.03,78.51,33.55,57.52,8.193333333,6.415,56.52666667
6430571L13Rik,DCT_ERST_DCT_UP,5.67,6.28,6.1,0.71,0.48,2.23,2.17,2.02,6.016666667,0.595,2.14
Fndc1,LC_DCT_LC_UP,5.67,6.29,5.01,11.4,9.58,40.58,43.75,37.75,5.656666667,10.49,40.69333333
Nrap,LC_DCT_LC_UP,5.66,4.98,2.81,2.41,2.34,65.43,71.54,62.38,4.483333333,2.375,66.45
Fads1,LC_DCT_LC_UP,5.65,5.51,6.03,6.46,5.67,18.86,20.15,18.57,5.73,6.065,19.19333333
Hotairm1,LC_ERST_UP,5.65,6.43,5.37,44.68,53.58,17.86,20.27,10.75,5.816666667,49.13,16.29333333
Tgm2,LC_DCT_LC_UP,5.63,6.56,3.96,8.67,7.44,24.18,30.2,23.28,5.383333333,8.055,25.88666667
Gm37931,DCT_ERST_DCT_UP,5.59,4.7,5.3,0.75,0.89,0.44,0.55,0.57,5.196666667,0.82,0.52
Trpm2,DCT_ERST_DCT_UP,5.59,7.13,5.05,0.79,1.14,1.13,0.88,1.08,5.923333333,0.965,1.03
Serpina11,DCT_ERST_DCT_UP,5.59,5.33,4.21,0.24,0.44,0,0,0,5.043333333,0.34,0
Irf1,LC_DCT_LC_UP,5.59,4.93,2.89,8.94,8.08,179.03,194.71,166.54,4.47,8.51,180.0933333
Gm14703,DCT_ERST_DCT_UP,5.58,5.66,4.84,0.33,0.31,0.31,0.16,0.39,5.36,0.32,0.286666667
Tle1,LC_DCT_LC_UP,5.57,5.64,6.94,11.02,11.42,30.02,33.25,30.41,6.05,11.22,31.22666667
Osgin1,LC_DCT_LC_UP,5.56,5.1,4.57,6.97,6.14,27.69,34.92,27.82,5.076666667,6.555,30.14333333
Hspb7,LC_DCT_LC_UP,5.53,4.36,2.96,5.64,5.79,61.94,70.69,62.66,4.283333333,5.715,65.09666667
Pi15,DCT_ERST_DCT_UP,5.51,5.49,5.33,0.96,0.98,1.56,0.97,1.36,5.443333333,0.97,1.296666667
Slc6a14,LC_ERST_UP,5.47,5.52,7.51,22.96,24.37,0.1,0.04,0.09,6.166666667,23.665,0.076666667
Awat1,LC_ERST_UP,5.47,5.65,4.06,327.88,310.96,0,0,0,5.06,319.42,0
Emilin1,LC_DCT_LC_UP,5.47,4.61,3.85,12.82,7.49,41.03,48.47,35.43,4.643333333,10.155,41.64333333
Lrp4,LC_ERST_UP,5.45,5.25,8.2,42.26,49.02,2.74,2.74,2.95,6.3,45.64,2.81
Sgca,LC_DCT_LC_UP,5.44,5.36,4.31,3.71,4.04,46.18,48.47,45.17,5.036666667,3.875,46.60666667
Smoc1,LC_DCT_LC_UP,5.44,6.08,3.46,2.12,2.47,24.55,28.62,24.74,4.993333333,2.295,25.97
Tmprss4,LC_ERST_UP,5.43,5.25,7.35,89.34,78.85,0,0,0,6.01,84.095,0
Ankrd35,LC_ERST_UP,5.43,5.21,6.06,30.69,29.91,2.39,2.84,1.96,5.566666667,30.3,2.396666667
Arhgef2,LC_DCT_LC_UP,5.43,5.32,4.58,6.64,5.83,20.28,27.4,21.24,5.11,6.235,22.97333333
Kazald1,LC_ERST_UP,5.42,5.83,3.87,199.72,195.24,13.46,13.04,11.85,5.04,197.48,12.78333333
Serpina9,DCT_ERST_DCT_UP,5.41,5.95,7.85,1.14,1.1,0.1,0.31,0.15,6.403333333,1.12,0.186666667
2810001G20Rik,LC_DCT_LC_UP,5.38,3.99,6.76,10.46,11.46,41.81,41.67,40.14,5.376666667,10.96,41.20666667
Cyp26b1,LC_DCT_LC_UP,5.38,4.86,3.74,11.17,11.87,40.7,35.28,41.76,4.66,11.52,39.24666667
Dclk3,DCT_ERST_DCT_UP,5.35,5.89,9.29,0.62,0.63,0.94,1.23,0.88,6.843333333,0.625,1.016666667
Parva,LC_DCT_LC_UP,5.34,5.72,5.8,9.27,8.63,26.07,26.45,27.14,5.62,8.95,26.55333333
Ackr3,LC_DCT_LC_UP,5.33,6.22,3.35,15.86,12.63,47.48,50.17,43.08,4.966666667,14.245,46.91
Crispld2,LC_DCT_LC_UP,5.33,5.58,3.24,22.51,21.53,72.12,76,66.9,4.716666667,22.02,71.67333333
Wfdc1,LC_DCT_LC_UP,5.33,4.38,2.33,10.54,9.24,25.71,36.7,26.98,4.013333333,9.89,29.79666667
Mdk,LC_DCT_LC_UP,5.32,4.88,3.34,4.75,5.43,15.04,19.56,14.85,4.513333333,5.09,16.48333333
Dnajc6,DCT_ERST_DCT_UP,5.3,5.16,6.04,0.4,0.33,0.05,0,0.04,5.5,0.365,0.03
Caprin2,LC_DCT_LC_UP,5.29,7.1,12.4,5.71,7.31,35.47,21.54,25.13,8.263333333,6.51,27.38
Parm1,DCT_ERST_DCT_UP,5.28,5.28,4.81,1.59,1.57,1.46,1.83,1.72,5.123333333,1.58,1.67
Gm14305,LC_ERST_UP,5.27,4.27,3.86,19.2,15.58,0,1.07,0,4.466666667,17.39,0.356666667
Gm26735,DCT_ERST_DCT_UP,5.26,5.82,7.26,0.99,2.12,0,0,0,6.113333333,1.555,0
Mlip,LC_DCT_LC_UP,5.25,4.52,2.11,4.34,3.73,21.51,26.8,28.82,3.96,4.035,25.71
Gcnt1,DCT_ERST_DCT_UP,5.23,5.38,7.22,1.02,1.19,0.3,0.1,0.15,5.943333333,1.105,0.183333333
Gm17322,DCT_ERST_DCT_UP,5.23,5.38,6.6,0.36,0.37,0,0,0,5.736666667,0.365,0
Ndufaf5,LC_DCT_LC_UP,5.19,4.4,4.48,5.85,6.62,19.09,21.03,19.89,4.69,6.235,20.00333333
2310001H17Rik,LC_ERST_UP,5.18,5.46,3.42,28.45,27.76,1.46,2.76,1.57,4.686666667,28.105,1.93
Scara3,LC_DCT_LC_UP,5.17,5.16,3.81,18.16,15.26,232.55,271.8,232.05,4.713333333,16.71,245.4666667
Cspg4,LC_DCT_LC_UP,5.16,4.73,3.39,4.47,4.22,41.48,46.8,40.35,4.426666667,4.345,42.87666667
Gpm6b,LC_DCT_LC_UP,5.13,5.58,5.4,20.04,21,65.74,68.24,61.42,5.37,20.52,65.13333333
Pde9a,DCT_ERST_DCT_UP,5.13,5.06,4.98,1.22,1.11,1.46,1.19,1.1,5.056666667,1.165,1.25
Mal2,LC_ERST_UP,5.09,4.95,4.64,21.37,19.66,0,0,0,4.893333333,20.515,0
Cxx1c,LC_DCT_LC_UP,5.08,4.75,5.45,7.5,8.14,23.62,21.8,24.36,5.093333333,7.82,23.26
Pcolce2,LC_DCT_LC_UP,5.08,5.19,3.07,18.06,21.42,366.8,355.28,357.18,4.446666667,19.74,359.7533333
Lmod3,LC_DCT_LC_UP,5.08,5.46,2.74,0.99,1.39,25.76,26.36,27.5,4.426666667,1.19,26.54
Ank1,LC_DCT_LC_UP,5.07,4.83,3.29,1.14,1.33,17.98,18.1,16.24,4.396666667,1.235,17.44
Icam1,LC_DCT_LC_UP,5.05,5.58,4.34,11.74,9.82,46.06,50.91,43.31,4.99,10.78,46.76
Gm12439,LC_DCT_LC_UP,5.04,3.08,1.32,0.49,0,15.75,8.03,11.77,3.146666667,0.245,11.85
Gm12347,DCT_ERST_DCT_UP,5,3.1,6.17,0,0.22,0,0,0,4.756666667,0.11,0
Cxcl10,LC_DCT_LC_UP,5,4,1.71,3.4,2.56,94.39,117.08,100.39,3.57,2.98,103.9533333
Sptlc3,LC_ERST_UP,4.99,4.51,7.1,47.97,47.39,0.12,0.07,0.09,5.533333333,47.68,0.093333333
Clec4a3,LC_ERST_UP,4.99,5.68,2.7,19.3,19.33,3.13,4.12,3.71,4.456666667,19.315,3.653333333
Hoxc8,DCT_ERST_DCT_UP,4.98,5.32,1.82,0,0,0.04,0,0.11,4.04,0,0.05
Scin,LC_DCT_LC_UP,4.97,5.93,6.56,15.94,15.52,39.61,38.8,41.43,5.82,15.73,39.94666667
Tmem204,LC_DCT_LC_UP,4.95,5.93,3.12,11.04,10.84,30.8,36.35,27.36,4.666666667,10.94,31.50333333
Akr1c14,LC_DCT_LC_UP,4.93,4.67,1.18,0.71,0.65,29.89,29.41,32.86,3.593333333,0.68,30.72
Zbtb20,LC_DCT_LC_UP,4.9,5.04,6.77,18.53,17.72,124.85,129.25,119.01,5.57,18.125,124.37
Cuedc1,LC_DCT_LC_UP,4.9,4.82,3.44,18.42,21.04,76.75,82.13,74.71,4.386666667,19.73,77.86333333
Slc4a1,DCT_ERST_DCT_UP,4.88,4.79,4.43,0.03,0.04,0,0,0,4.7,0.035,0
Entpd3,DCT_ERST_DCT_UP,4.87,5.3,4.81,0.72,0.43,0,0,0,4.993333333,0.575,0
Trim54,LC_DCT_LC_UP,4.86,4.92,2.82,2.66,2.4,82.17,98.16,83.17,4.2,2.53,87.83333333
Gsta2,LC_ERST_UP,4.85,3.28,6.27,66.04,64.46,0,0.27,0,4.8,65.25,0.09
Bcl11b,LC_ERST_UP,4.85,4.76,4.15,30.6,25.35,0.23,0.37,0.25,4.586666667,27.975,0.283333333
Ciart,LC_ERST_UP,4.84,4.77,4.09,50.9,49.27,9.67,12.9,9.84,4.566666667,50.085,10.80333333
Phldb1,LC_DCT_LC_UP,4.82,4.58,3.91,15.06,12.79,44.37,53.08,43.57,4.436666667,13.925,47.00666667
Gm5814,DCT_ERST_DCT_UP,4.81,4.99,5.97,1.27,1.95,2.3,0.03,2.78,5.256666667,1.61,1.703333333
Rbpms,LC_DCT_LC_UP,4.81,7.8,5.03,13.25,13.64,38.42,38.93,33.83,5.88,13.445,37.06
Grb14,LC_DCT_LC_UP,4.81,5.28,4.32,4.68,4.77,74.44,70.24,64.98,4.803333333,4.725,69.88666667
Myb,DCT_ERST_DCT_UP,4.78,4.57,5.96,0.75,0.92,0,0.12,0.1,5.103333333,0.835,0.073333333
Hacl1,LC_ERST_UP,4.76,4.24,6.03,190.73,189.97,7.82,6.86,9.87,5.01,190.35,8.183333333
Chka,LC_DCT_LC_UP,4.75,4,5.56,8.85,7.51,23.92,24.22,24.7,4.77,8.18,24.28
Cacnb1,LC_DCT_LC_UP,4.75,4.93,2.63,3.29,2.71,20.5,25.14,19.66,4.103333333,3,21.76666667
Adh6a,LC_ERST_UP,4.74,3.76,5.19,288.19,309.62,0,0,0,4.563333333,298.905,0
Hhatl,LC_DCT_LC_UP,4.74,4.9,2.85,2.59,2.03,22.51,24.54,21.51,4.163333333,2.31,22.85333333
Emid1,LC_ERST_UP,4.72,3.51,3.25,16.63,13.35,4.37,3.02,4.54,3.826666667,14.99,3.976666667
Cp,LC_DCT_LC_UP,4.71,6.05,4.96,15.11,11.95,46.66,39.53,42.59,5.24,13.53,42.92666667
Enho,LC_DCT_LC_UP,4.7,3.85,2.88,4.88,3.73,35.62,47.08,38.64,3.81,4.305,40.44666667
Fgfrl1,LC_DCT_LC_UP,4.7,4.04,2.07,3.94,3.72,47.62,52.16,42.99,3.603333333,3.83,47.59
Sat2,LC_DCT_LC_UP,4.68,3.18,4.03,6.26,5.64,20.27,21.89,19.02,3.963333333,5.95,20.39333333
Myl4,LC_DCT_LC_UP,4.68,5.64,3.29,6.56,4.88,19.75,24.12,21.77,4.536666667,5.72,21.88
Guca1b,DCT_ERST_DCT_UP,4.68,4.54,3.19,0.14,0.13,0.17,0.1,0.06,4.136666667,0.135,0.11
Zfp367,LC_ERST_UP,4.67,4.29,3.81,21.38,23.84,4.22,3.28,3.88,4.256666667,22.61,3.793333333
Gbe1,LC_DCT_LC_UP,4.67,3.03,3.04,8.03,7.84,23.86,16.82,23.11,3.58,7.935,21.26333333
Gm43123,DCT_ERST_DCT_UP,4.66,4.92,3.42,0.67,1.03,1.4,1.32,1.16,4.333333333,0.85,1.293333333
Dnajc13,LC_ERST_UP,4.65,7.74,8.29,32.01,33.61,9.59,9.57,10.09,6.893333333,32.81,9.75
Cchcr1,LC_DCT_LC_UP,4.65,4.49,7.2,6.51,6.7,24.36,17.42,20.93,5.446666667,6.605,20.90333333
2310002L09Rik,LC_DCT_LC_UP,4.65,5.65,3.99,2.04,2.77,32.14,38.72,31.53,4.763333333,2.405,34.13
Klf15,LC_DCT_LC_UP,4.63,3.88,3.99,3.98,3.41,36.85,34.26,31.61,4.166666667,3.695,34.24
Siglec1,DCT_ERST_DCT_UP,4.63,4.42,3.84,0.56,0.55,1.32,0.77,1.08,4.296666667,0.555,1.056666667
Cry2,LC_DCT_LC_UP,4.63,4.25,3.72,20.39,21.93,58.03,64.23,57.67,4.2,21.16,59.97666667
Il1f9,LC_ERST_UP,4.62,4.61,4.76,55.23,55.53,0.57,0.65,0.91,4.663333333,55.38,0.71
Fam81a,LC_ERST_UP,4.61,4.14,5.63,37.59,40.13,2.57,1.55,1.75,4.793333333,38.86,1.956666667
Olfml3,LC_ERST_UP,4.61,4.63,3.29,33.09,28.49,5.37,7.24,6.1,4.176666667,30.79,6.236666667
Skint11,LC_ERST_UP,4.59,5.43,8.3,22.45,25.13,0.19,0,0.22,6.106666667,23.79,0.136666667
Il6ra,LC_ERST_UP,4.59,3.91,4.37,26.75,26.66,4.95,5.41,5.11,4.29,26.705,5.156666667
Ell3,LC_ERST_UP,4.56,4.57,5.41,33.39,33.91,0.1,0.2,0.06,4.846666667,33.65,0.12
C330021F23Rik,DCT_ERST_DCT_UP,4.56,2.87,5.22,0.61,0.57,0.49,0.76,0.24,4.216666667,0.59,0.496666667
Lmod2,LC_DCT_LC_UP,4.56,3.53,3.24,0.61,0.65,47.46,46.54,46.43,3.776666667,0.63,46.81
Cpxm2,LC_DCT_LC_UP,4.55,5.14,3.91,10.14,8.56,29.24,31.98,26.7,4.533333333,9.35,29.30666667
Gem,LC_DCT_LC_UP,4.55,2.98,3.38,9.15,8.14,38.5,40.48,41.5,3.636666667,8.645,40.16
Tnnt1,LC_DCT_LC_UP,4.52,4.06,1.75,6.13,6.11,615.03,653.03,647.3,3.443333333,6.12,638.4533333
Ptch2,DCT_ERST_DCT_UP,4.51,4.36,4.61,1.12,0.88,0.87,1.25,1.4,4.493333333,1,1.173333333
Mylk2,LC_DCT_LC_UP,4.51,4.93,3.99,1.94,1.64,17.05,19.38,17.45,4.476666667,1.79,17.96
Evi2a,LC_ERST_UP,4.51,4.04,3.53,22.85,25.83,5.19,6.54,6.41,4.026666667,24.34,6.046666667
4930562F07Rik,LC_DCT_LC_UP,4.5,3.51,4.56,1.22,0.7,24.43,22.42,25.22,4.19,0.96,24.02333333
Apbb1,LC_DCT_LC_UP,4.48,4.5,3.79,8.48,6.78,20.45,30.15,22.78,4.256666667,7.63,24.46
Etv5,LC_DCT_LC_UP,4.48,5.31,3.1,4.34,3.7,31.27,32.24,32.05,4.296666667,4.02,31.85333333
Nqo1,LC_DCT_LC_UP,4.44,4.38,4.83,9.01,11.68,34.26,29.64,32.68,4.55,10.345,32.19333333
Gm26600,DCT_ERST_DCT_UP,4.43,4.86,5.07,1.34,1.39,1.53,1.2,1.12,4.786666667,1.365,1.283333333
Synpo,LC_DCT_LC_UP,4.43,4.99,3,4.42,4.31,51.03,55.67,50.02,4.14,4.365,52.24
Tmeff1,DCT_ERST_DCT_UP,4.42,4.99,5.2,1.23,1.21,1.24,1.62,1.17,4.87,1.22,1.343333333
Dmwd,LC_DCT_LC_UP,4.42,4.71,2.89,4.28,3.39,15.48,18.56,12.65,4.006666667,3.835,15.56333333
2310079G19Rik,DCT_ERST_DCT_UP,4.41,3.4,4.57,0.25,0.09,0,0,0,4.126666667,0.17,0
Myom1,LC_DCT_LC_UP,4.41,4.48,2.72,1.42,1.47,24.63,26.93,25.32,3.87,1.445,25.62666667
Gm15716,LC_DCT_LC_UP,4.4,1.44,1.28,0.13,0,34.3,14.29,35.33,2.373333333,0.065,27.97333333
Gm38215,DCT_ERST_DCT_UP,4.37,5.69,5,0.86,1.31,1.95,0.84,1.59,5.02,1.085,1.46
Klhl40,LC_DCT_LC_UP,4.37,4.05,2.16,1.57,1.43,29.96,33.32,27.49,3.526666667,1.5,30.25666667
Nckap5,DCT_ERST_DCT_UP,4.34,4.46,6.79,0.82,0.51,0.63,0.38,0.39,5.196666667,0.665,0.466666667
Tm7sf2,LC_ERST_UP,4.34,4.6,4.48,18.75,15.63,3.14,4.98,4.02,4.473333333,17.19,4.046666667
Gm20627,LC_ERST_UP,4.3,4.91,3.26,73.74,61.88,0.5,0.43,0.25,4.156666667,67.81,0.393333333
Gm21685,LC_ERST_UP,4.29,3.75,5.71,18,17.39,5.6,5.47,4.61,4.583333333,17.695,5.226666667
4933439K11Rik,DCT_ERST_DCT_UP,4.27,4.43,3.19,0.77,0.7,0.05,0.78,0.13,3.963333333,0.735,0.32
Kif26a,DCT_ERST_DCT_UP,4.24,7.17,5.07,1.51,1.17,0.16,0.68,0.07,5.493333333,1.34,0.303333333
Aloxe3,LC_ERST_UP,4.23,3.06,4.84,35.49,34.07,0.38,0.52,0.46,4.043333333,34.78,0.453333333
Arhgef28,LC_DCT_LC_UP,4.23,4.04,4,4.06,4.04,19.12,18.75,18.23,4.09,4.05,18.7
Igf2,LC_DCT_LC_UP,4.23,6,2.37,15.26,12.16,90.66,92.12,81.98,4.2,13.71,88.25333333
Spp1,LC_DCT_LC_UP,4.21,4.05,2.9,8.12,7,60.37,68.11,60.55,3.72,7.56,63.01
Rnf225,LC_ERST_UP,4.19,5.22,4.8,22.28,20.85,0.24,0.33,0.38,4.736666667,21.565,0.316666667
Dach1,DCT_ERST_DCT_UP,4.19,4.21,3.82,0.37,0.22,0.23,0.24,0.27,4.073333333,0.295,0.246666667
Krt8,LC_DCT_LC_UP,4.19,3.55,2.19,0.76,0.42,16.76,20.37,15.38,3.31,0.59,17.50333333
Arhgef25,LC_DCT_LC_UP,4.18,3.87,2.56,5.77,6.1,34.93,36.71,35.93,3.536666667,5.935,35.85666667
1190005I06Rik,LC_DCT_LC_UP,4.15,4.16,2.01,8.05,6.63,33.52,38.06,32.17,3.44,7.34,34.58333333
Adrb2,LC_DCT_LC_UP,4.13,3.78,6.45,13.88,14.35,33.9,32.19,33.69,4.786666667,14.115,33.26
Nol3,LC_DCT_LC_UP,4.13,4.26,3.03,5.6,5.6,18.15,19.38,16.31,3.806666667,5.6,17.94666667
Tle2,LC_DCT_LC_UP,4.13,3.12,2.11,5.03,4.83,13.04,17.18,11.14,3.12,4.93,13.78666667
Tgfbr3,LC_DCT_LC_UP,4.12,4.46,3.13,8.63,8.15,24.63,23.28,24.48,3.903333333,8.39,24.13
Hfe2,LC_DCT_LC_UP,4.11,4.5,3.33,1.79,1.53,20.84,22.44,20.98,3.98,1.66,21.42
Atp1b2,LC_DCT_LC_UP,4.11,4.22,3.09,2.35,2.51,14.96,15.29,16.62,3.806666667,2.43,15.62333333
Snta1,LC_DCT_LC_UP,4.09,5.49,4.46,10.52,8.91,48.12,63.13,48.17,4.68,9.715,53.14
Hs3st1,LC_DCT_LC_UP,4.09,4.38,4.29,6.99,6.79,17.4,20.48,17.86,4.253333333,6.89,18.58
Skint1,LC_ERST_UP,4.08,3.09,6.86,28.35,23.11,0,0,0,4.676666667,25.73,0
S100b,LC_DCT_LC_UP,4.07,4.61,3.98,7.97,8.16,363.33,352.94,360.37,4.22,8.065,358.88
Nr1h3,LC_DCT_LC_UP,4.07,3.81,2.36,5,3.93,13.12,17.76,13.3,3.413333333,4.465,14.72666667
Cd3g,LC_ERST_UP,4.01,3.51,4.73,25.74,28.38,0.5,0.36,0.11,4.083333333,27.06,0.323333333
Alg2,LC_DCT_LC_UP,4.01,3.54,4.43,6.61,5.65,16.43,18.64,17.48,3.993333333,6.13,17.51666667
Slc9a8,LC_DCT_LC_UP,3.99,4.17,2.84,5.02,4.87,13.26,16.81,15.36,3.666666667,4.945,15.14333333
Fap,LC_DCT_LC_UP,3.98,4.49,4.15,2.89,3.29,36.19,35.96,37.46,4.206666667,3.09,36.53666667
Guca2a,LC_ERST_UP,3.98,3.76,2.99,180.91,153.63,0.2,0.39,0.24,3.576666667,167.27,0.276666667
Slc12a2,LC_DCT_LC_UP,3.97,4.13,4.26,5.36,5.6,19.25,14.93,19.84,4.12,5.48,18.00666667
Lamb2,LC_DCT_LC_UP,3.96,3.52,2.4,18.07,15.07,54.65,53.7,49.53,3.293333333,16.57,52.62666667
Srcap,LC_DCT_LC_UP,3.95,3.34,5.13,5.34,4.96,18.01,21.33,17.78,4.14,5.15,19.04
Itgbl1,LC_DCT_LC_UP,3.95,4.33,2.47,16.97,17.19,44.94,44.36,44.28,3.583333333,17.08,44.52666667
Dkk2,LC_ERST_UP,3.93,3.74,2.65,13.9,13.6,1.07,1.03,1.12,3.44,13.75,1.073333333
Slain1,DCT_ERST_DCT_UP,3.92,4.4,6.26,0.42,0.3,0,0,0,4.86,0.36,0
Cd209b,LC_ERST_UP,3.92,5.14,1.57,14.97,14.36,1.97,2.16,2.2,3.543333333,14.665,2.11
Snora31,LC_DCT_LC_UP,3.92,0,0,3.25,3.73,39.9,40.43,29.32,1.306666667,3.49,36.55
Pkp2,DCT_ERST_DCT_UP,3.91,3.25,3.87,0.84,0.76,1.35,0.69,1.22,3.676666667,0.8,1.086666667
Slc1a4,LC_DCT_LC_UP,3.9,3.7,3.37,4.63,4.2,15.36,15.62,14.43,3.656666667,4.415,15.13666667
Tmem182,LC_DCT_LC_UP,3.9,4.12,3.31,1.66,1.67,17.75,15.71,16.13,3.776666667,1.665,16.53
Thbd,LC_DCT_LC_UP,3.89,4.67,3.06,6.18,5.5,24.24,25.59,22.51,3.873333333,5.84,24.11333333
Rab20,LC_DCT_LC_UP,3.88,4.21,4.44,5.91,5.38,13.55,18.4,13.84,4.176666667,5.645,15.26333333
Gm34267,DCT_ERST_DCT_UP,3.88,4.9,4.11,0.12,0.37,1.08,0.98,1.6,4.296666667,0.245,1.22
Mief2,LC_DCT_LC_UP,3.88,4.26,2.88,5.33,4.5,17.6,20.03,15.78,3.673333333,4.915,17.80333333
Vegfb,LC_DCT_LC_UP,3.87,4.6,2.93,5.94,5.32,26.03,24.88,24.31,3.8,5.63,25.07333333
Ecm2,LC_DCT_LC_UP,3.86,3.73,2.47,18.72,19.46,97.94,89.8,96.93,3.353333333,19.09,94.89
Atoh8,LC_DCT_LC_UP,3.85,2.81,3.01,1.94,2.41,33.59,35.35,28.8,3.223333333,2.175,32.58
Clec4a1,LC_ERST_UP,3.85,2.69,1.24,11.02,11.82,1.15,0.75,1.67,2.593333333,11.42,1.19
