"","DCT1","DCT2","DCT3","ERST2","ERST3","LC1","LC2","LC3"
"Siglec1",0.778336246574329,0.768966442220204,0.760180221780235,0.0897063493213758,0.0972998802997504,0.396913456311394,0.29881747997634,0.353517069594495
"Shh",0.54133535939559,0.508422968346294,0.64846552602761,0,0.00732697462632022,0.0317528666197353,0.0369835769423422,0.031523806989335
"Serpina9",0.830496729618362,0.880543356801269,1.008298140057,0.227692243252007,0.213929764579009,0.139638327915676,0.212292699615795,0.157230844086032
"Serpina11",0.844644257547955,0.830496729618362,0.791629021227542,0.0365475359616145,0.0795684888877611,0.0317528666197353,0.0369835769423422,0.031523806989335
"Sebox",0.898705927398781,0.841911051637332,0.823548840299229,0.294489489921801,0.274235148773308,0.0317528666197353,0.0369835769423422,0.031523806989335
"Scrg1",1.06216125377123,1.14204530655602,1.06800441952573,0.130977062705877,0.0854712537813375,0.31406360360004,0.454244684285831,0.338403196511435
"Scnn1b",0.889714856313151,0.920691234505019,0.856385556151667,0.417062366869806,0.334003997292873,0.128892558289169,0.136410218926601,0.031523806989335
"RP23-64D23.5",0.961441669682891,0.969293221290399,0.973509398772058,0.114682184538347,0.241842339099058,0.375079766924133,0.40048656608862,0.369703277861951
"RP23-44H21.1",0.458439519608398,0.418823664372713,0.406110279187183,0,0,0.0317528666197353,0.0369835769423422,0.031523806989335
"RP23-100O18.6",0.61806383776864,0.496192058129622,0.639223877346132,0,0.0529907562828181,0.0317528666197353,0.0369835769423422,0.031523806989335
"Rhpn2",1.04625070600712,1.0189076580097,1.04008380311087,0.0927653445970862,0.157643591982968,0.37824695672558,0.308793484248074,0.308793484248074
"Ptch2",0.769224884401624,0.761910330787648,0.831458132511896,0.220242394183685,0.170449436698597,0.319968731187277,0.385252510521527,0.402902674155352
"Prr5l",0.852382323965442,0.758957459152738,1.04500065939368,0.13485751381126,0.146189098692244,0.36869188606204,0.325225062535115,0.441393254810509
"Ppp1r3b",0.708582990132538,0.686902207657589,0.805917717976184,0.0543101868405502,0.0604765864771749,0.229570349343909,0.189388793891721,0.223173697044282
"Plekhh1",0.573225892811333,0.527557961657036,0.595318691010456,0.0440096884504269,0.0529907562828181,0.0317528666197353,0.0369835769423422,0.031523806989335
"Plcxd2",0.887485912563383,0.837393704126226,0.825557783167577,0.306892210128438,0.295349293443275,0.107477128159163,0.128704713905437,0.103100293933474
"Pla2g4b",0.874661275864429,0.989273131329785,0.837160024264687,0.359945646599608,0.213929764579009,0.0317528666197353,0.251673010788028,0.163733082899903
"Pkp2",0.72827669576381,0.678337484508231,0.764426601248336,0.152409520714166,0.146189098692244,0.40259102090478,0.285437437104882,0.382172319037702
"Pi15",0.839396664537177,0.844045039041068,0.889989829874178,0.182139937056368,0.191806236772159,0.429540638953037,0.339744246743313,0.398712160995326
"Pde9a",0.81508436246396,0.813589114193647,0.858435018178743,0.238853833986437,0.217524035915916,0.417062366869806,0.376961776203165,0.36020296666578
"Pcp4",0.926123233405944,0.958996165242245,0.823548840299229,0.116108720011038,0.301761564995506,0.0317528666197353,0.0369835769423422,0.178029550783154
"Pbp2",0.629753038812433,0.768966442220204,0.660464530262612,0.00423825462833598,0,0.0317528666197353,0.0369835769423422,0.031523806989335
"Parm1",0.82308174258357,0.825206858759898,0.84546482176884,0.317518072761125,0.322240622368762,0.417062366869806,0.454801361424398,0.449806272683943
"Pard6b",0.926123233405944,0.881078422063677,1.08323135357935,0.500485539694659,0.473467936951088,0.0317528666197353,0.0369835769423422,0.107803176047604
"Odam",0.4703539628501,0.566256607216131,0.397927243065001,0.00423825462833598,0.0129177707661519,0.0317528666197353,0.0369835769423422,0.031523806989335
"Nckap5",0.7577959198797,0.770909157576244,0.956769432773311,0.146189098692244,0.0912364852718235,0.288442664079249,0.228246278355315,0.230042922511026
"Nanog",0.571574407606646,0.682988371980748,0.650660056502464,0.0529907562828181,0.0775759848823624,0.162339504306518,0.0369835769423422,0.213723349857129
"Mycn",0.982939293957686,0.906986234197045,1.12682552559009,0.249087172008361,0.173560484893957,0.170279258052629,0.212292699615795,0.200879901047388
"Myb",0.794312218386871,0.780552415672061,0.922096284316325,0.128704713905437,0.179766431434115,0.0317528666197353,0.162339504306518,0.139115677578197
"Msi1",0.63201144874925,0.610957129119683,0.619049711305197,0.0374839197490514,0.0732948970809039,0.227041156395587,0.243374036954861,0.183659999764887
"Mill1",0.975241158565912,0.904311004823214,1.0610711556758,0.284555291660351,0.230685162759846,0.0317528666197353,0.0369835769423422,0.031523806989335
"Lman1l",0.604314927955141,0.53141411095301,0.40259102090478,0.0240246450128647,0.0195019020575813,0.0317528666197353,0.0369835769423422,0.031523806989335
"Lincenc1",0.500146065065294,0.562059756672402,0.471720396014038,0.00212916741234755,0.00732697462632022,0.162339504306518,0.217849110521279,0.183659999764887
"Lhx2",0.973509398772058,0.95437343839158,1.02293135096571,0.289308198124666,0.364395067508207,0.406110279187183,0.317238706613195,0.357288303570796
"Lgr5",0.951993940445534,0.975774016985326,0.967885508753886,0.46633070602418,0.443043425318033,0.334231633076625,0.256955470944526,0.308793484248074
"Krtap5-3",0.873539583667138,0.866650053831257,0.741353150600533,0.081108634562563,0.08369013359515,0.0317528666197353,0.0369835769423422,0.031523806989335
