Gene_Name,D33_1,D33_2,D33_3,AD_1,AD_2,AD_3,rib1,rib2,rib3
Aplp1,1,2,1,19,11,16,160,47,56
Gpr132,0,0,1,11,4,5,51,92,120
Lair1,2,4,1,36,30,37.04,41.04,85.94,142.91
Gbp10,0,2,1,77.2,87.13,92.03,120.5,115.11,33.14
Trpc3,2,1,2,11,5,12,146,36,89
Hdac9,3,10,3,35,30,30,77,107,102
Prr33,8,8,2,2,1,0,124,63,102
Ptgir,9,8,4,71,54,29,80,85,129
Rcan2,0,3.02,1,53,29,52.02,103,95,80
Neurl1b,1,1,3,26,16,15,117,60,102
F630028O10Rik,1,0,0,4,1,8,83,109.42,83
Sla,2,7,3,59,31,52,50,119,121
H2-Q2,0,0,0,39.32,25.41,34.62,105.11,140.07,33.33
Kcnj2,0,1,0,11.05,14.01,15,82,69,131
Fgf11,3.1,1.02,0,23.02,13.98,14.32,109,75,106.01
Fosl1,1,2,2,13,10,12,113,39,140
Il12rb1,0,0,0,1,3,1,147,116,27
Ccr2,5,5,9.01,80.08,66.03,65.48,69.5,129.15,111.03
Samsn1,0,0,1,13,12,15,60,117,117
Hhex,1,3,3,74.12,55,74,73,134,94
Fcgr4,0,0,0,13,12,10,57,182,57
Ly86,1,2,1,35,22,19,43,162,97
Kif15,3.22,2.93,0,0,0,1,92.01,44,169.09
Cysltr1,0,4.07,1,41,17,26,51,129,126
Reep1,4,9,3,35,21,27,149,76,93
Atg9b,0,0,1,19.29,15.21,7.12,154.68,30,119
Gm14584,0.93,2.47,0,16.3,8.03,11.27,113.25,84.18,109.12
Gm20056,0,0,0,3.61,6.06,5.75,25.22,105.45,172.71
Gpr65,0,0,0,14,7,13,26,159,119
Gm8909,0,0,0,6.43,6.41,16.18,166.14,40.58,97.55
Rasal3,0,0,2,13,7,5,38,154,115
Rtl1,9,6.14,5,0,0,0,195.53,32,98
Gm21986,0,3.21,3.48,0,0,0.42,62.02,199.53,54.59
Dusp2,1,0,0,49,42,55,59,63,191
42430,1,1,1,28,34,28,78,119,119
Taco1,7,4,4.59,66.92,53,63.78,90.73,132.77,105.48
Gm13889,1,1,1,8,13,12,117.27,43,157.65
Cd52,0,1,2,54,44,66,59,149,113
Gm11868,0,0,0,16.15,6.41,5.65,106.09,106.26,108.46
Perm1,7,5,4,0,0,2,50,177,110
Chml,7,9,4,46,42,41,125,77,148
AK157302,2.2,13.99,10.86,1.57,0.56,0,219.67,78.35,59.84
Cma1,1,2,0,23,17,23,88,90,159
Nptx1,1,1,0,0,0,0,60,38,241
Dusp9,0,0,2,22,16,22,62,110,168
Ube2ql1,0,2,1,0,0,0,175,40,128
Kcnc3,0,0,1,4,1,3,115,52,174
Cacna1h,1,12,5,2,0,1,208,61,95
Tnip3,0.99,0,0,22.03,37.01,12.01,46,106,197
Hdc,1,2.02,1,33,27,26,126,95,133
Asprv1,2,1,1,0,0,0,159,80,116
Itgax,0,0,0,33.09,42.75,39.25,67,103.46,182
Kif23,0,1,1,9,13,9,104,68,183
Gm13212,1.16,1.07,2.29,17.87,13.22,27.23,71.23,122.98,166.48
Rgs14,1,1,0,13,7,8,61,198,100
Gm15930,0,0,0,2.68,0,0,31.44,141.31,185.38
Nod2,1,1.86,2,17,7,8,64.97,104.15,195.93
Dhrs9,1,0,3,9,11,2,87.99,70,207
Gpr35,2.19,2.22,0.48,21,10,14,102.12,104.96,159
Il18bp,6,10,7,81,42,76,97,197,91
Lrrc8b,7,7,8,117,94,85,83,126,176
Adamts12,4,6,6,64,49,53,118,133,129
Gm20547,3.72,0,1.31,0,0,0,73.11,160.42,136.86
Gli1,3,1,5,1,0,0,128,110,138
Fam78a,0,0,0,15,2.81,13,46,192.57,131.28
Epcam,3,3,2,0,2,0,180,55,143
Wisp3,3,4,4,0,0,0,121,134.82,127.52
Tigar,3,6,8,47,24,41,77.95,175,139.99
Kifc1,4.02,0,1.37,0,1,0,122.67,111.54,147.61
Ccdc68,3,3,7,1,0,1,191.69,155.85,44
Gbgt1,0,0,1,2,3,5,59,192,133
Nlrc5,0,0,1,123,74,96,79,189,117
Tpsb2,0,1,2,13,9,16,77,131,179
Cnksr1,7,4,6,83,52,94,202,139,63
Hif3a,5,1,5,1,1,0,199,143,57
Asah2,10,10,5,49,35,55,159,113,143
Artn,0,0,0,2,1,0,185,18,188
Ngp,0,0,0,0,0,1,260,10,121
Parvg,1,0,0,39,26,29,67,206,120
Bub1,0,1,0,2,3,5,84,98,213
Nfkbid,3,3,0,67,47,49,52,105,244
Slc35f1,0,0,1,1,1,4,188.03,90.09,118.08
Ccr5,6.82,12.83,3.48,39.46,41.25,42.73,109.99,163.85,146.29
Tagln,4,11,7,131,93,122,220,130,71
Nkain1,0,0,0,2,0,0,41,210,151
Rgs1,0,0,0,81,78,79,66,149,189
Tma7-ps,0,4.41,0,0,0,0,133,143.71,132.52
Cdh24,7,6,11,1,2,0,250.47,60,119.78
Slc45a3,11,13,11,4,2,3.41,80.55,148.25,212.97
Osm,0,0,0,29,16,20,53,146,209
Nlrc4,0,0,2,5,6,10,55,193,162
Il1f9,0,0,0,3.84,0.38,1,223.14,83.94,101.41
A430106G13Rik,15.17,11.42,5.01,0,0,0,195.88,179,69
Slc6a1,0,0,0,1,1,0,102,297,17
Prelid2,1,0,1,31,22,16,161,118,139
Dennd1c,1,0,1,18,18,14,71,221,127
Ntn4,12,15.02,9,5,0,3,295,81,83
Slfn10-ps,0,1,1.3,8.04,12.36,4,42.07,164.75,223.09
Rbm38,1,2,13,100,56,95,125.42,181,141
F10,7.95,3.75,0,26.18,16.45,26.08,108.63,175.57,159.51
Filip1,0,0,0,82,52,82,102,256,84
Ncaph,2,2,5,30,28,21,115,155,181
Oxsm,7.11,10.83,10,55,36,50,119.72,156.98,196.06
Rbpsuh-rs3,0,0,0,0,5.63,0,85.56,112.81,252.69
Pawr,8,4,2,37,36,36,231,117,119
Tnfrsf13b,0,1,0,21,12,28,51,192,215
B3gnt3,1,0,3,44,27,34,180,159,123
Aire,1,0,0,0,0,0,288,76,97
Pstpip2,1,5,3,28.94,23,46,72.94,179.54,216.81
Nbeal2,5,10,3,73,67,50,132,182,165
Ms4a4c,0,0,0,9,5.44,7,148,280.37,39.09
Rapgefl1,4.22,12.18,7.01,0,0,1,148.05,208,137
Rassf5,4,7,8,47,45,46,187,139,164
Nrgn,0,0,0,3,2,1,156,215,102
Kcnq5,3.97,5,4,1,1,1,204.72,111,170.91
C530008M17Rik,4,14.93,12,1,0,1,205.86,137,162
Arhgap27,7,1.34,3,134.41,86,121.53,77.61,205.19,210.94
Abi3,4.45,4.11,1,84.5,73,92.37,84.84,226.08,182.08
Gm4955,0,0,0,2.5,0,2.09,76.22,264.15,146.63
Slc14a1,1,1,1,15,8,14,170,211,110
Notch3,12,6.46,11.4,137.74,78.77,93.64,253.87,102,162.83
Spry4,5,6,16,156,114,157,196,145,175
Nrap,5,7,29,0,1,1,39,275.24,225.23
Prss50,0,0,0,1,0,1,226,158,116
Mllt3,8,17,17,82,74,61,222,124,203
Ccl12,0,0,0,6,2,11,77,277,154
Baiap2l2,0,0,0,2,2,5,158,295,65
Neurl3,3.49,10.12,3.18,90.02,71.96,93.02,78.02,212.01,255.05
Gm28035,0,3.18,0,0,0,0,175.02,106.06,253.95
Cd86,2,3,2,73,45,60,89,249,204
Tbc1d2,10,22,13,93,66,115,83,276,221
BC021891,2,4,0,1,0,0,179,181,184
Panx2,3,3,3,2,0,0,276,104,167
Zdbf2,8,7,8,0,0,0,254.27,128,179
Bmp8a,0,0,0,3.84,2,3,314.45,99.73,126.69
Dach1,0,0,1,27,21,20,183,305,56
Itgal,1,0,0,21,25,40,121,275,150
Slfn1,0,0,0,1,1,2,170,309,68
Tm4sf19,0,0,0,7,1,4,38,211,300
Snn,10,20,8,146,97,121,215,229,144
Pira2,1.5,1,1.69,11.89,27.67,23.49,69.68,148.31,338.43
Pdzd4,5,8,2.38,0,0,1,198.15,199.49,180.53
Lst1,3,2,4,29,19,21,78,337,158
Gm15931,0,0,1.65,19.12,17.15,19.09,60.45,249.06,257.09
Tnfaip8l2,6,5,3,36,28,32,67,358,155
Gm5431,0,1.05,0,9.49,3.21,11.26,82.18,348.67,138.69
Gm28006,2.71,27.45,1.99,0,0.83,1,264.47,214.3,123.93
C920025E04Rik,0.24,0,0.79,19.31,18.3,26.17,323.47,66.55,184.12
Slamf8,0,0,0,32,20,28,122,320,132
S1pr3,2,4,4,104,68,125,213,159,216
Tifab,4,1,2,41,16,16,96,343,157
5730508B09Rik,8,17,3,84,60,60,124,234,265
Tfpi,14,10,14,195,143,142,140,266,231
Gmfg,4,0,2,55.51,36,42,111,329,171.37
Tab3,8,8,7,32,37,53,221,188,222
Gbp6,11.75,18.07,6.89,197.92,156.82,200.64,121.71,192.56,331.25
Asb4,0,0,0,3,3,7,151,213,245
Mtus2,12,15,20,0,0,0,167,368,121
Mlkl,4,0,1,125,80,119,129,280,206
Aif1,4,2,4,48,43,31,116,366,142
AI467606,2,0,3,65,58,46,190,254,181
Gbp6,0,0,6.37,184.01,81.97,133.69,218.79,291.95,117.55
Trim14,3.07,0,1,99.97,76.64,75.15,89.38,367.85,169.88
Igf2os,0,0,0,1,0,0,170.66,269.62,184.06
