"","DCT1","DCT2","DCT3","ERST2","ERST3","LC1","LC2","LC3"
"Gm9008",0.0295983722204369,0.0564931500654277,0.0417500072017119,0.00732697462632022,0.00833731880287442,0.764563426567087,0.828481502597665,0.76670241359559
"Gm8407",0.00212916741234755,0.00264866238374226,0.00160465308814653,0.0164849995429615,0,0.602214272937474,0.632968364602009,0.524055052951954
"Gm7879",0.00212916741234755,0.00264866238374226,0.00160465308814653,0,0.0589562685648735,0.801347078345263,0.865566919451468,0.713978254703018
"Gm7809",0.00212916741234755,0.00264866238374226,0.00160465308814653,0,0,0.73951095700406,0.76670241359559,0.889439882752123
"Gm7497",0.00212916741234755,0.00264866238374226,0.0503306680077088,0.0680805072285762,0.0564931500654277,0.875336713156005,0.843900381224773,0.771638830422825
"Gm7293",0.0252191450629083,0.0369835769423422,0.0476460780931063,0.00264866238374226,0.0164849995429615,1.02644288618799,0.990697292047467,0.975774016985326
"Gm6768",0.00212916741234755,0.00264866238374226,0.0849288999094633,0,0,0.827372170544769,0.946637325792598,0.833708828237803
"Gm6644",0.00212916741234755,0.00264866238374226,0.0274360478541805,0.0215254601943812,0.00630713684821626,1.24909403502416,1.21294555887689,1.09935927002508
"Gm6206",0.00212916741234755,0.00264866238374226,0.00160465308814653,0.199443660863418,0.0732948970809039,0.763335214655681,0.866650053831257,0.777971416023721
"Gm5979",0.0574134197122199,0.00264866238374226,0.00160465308814653,0,0,0.717139505116288,0.526576931933136,0.82286678212953
"Gm5436",0.088518776298316,0.00264866238374226,0.142284552468104,0.00833731880287442,0,0.829294936496324,0.698139012327495,0.657665890514561
"Gm4737",0.00212916741234755,0.00264866238374226,0.259611499933662,0,0,1.24762602123355,1.23009326435394,1.20036855543968
"Gm4734",0.119002860210311,0.0659737905373456,0.125451430687051,0.0574134197122199,0.0503306680077088,0.532827238103429,0.660464530262612,0.549233738324653
"Gm43289",0.170279258052629,0.0659737905373456,0.0878042803011615,0.0642901090197437,0.0927653445970862,0.779623903909116,0.799818144722979,0.788487861220104
"Gm43263",0.147198415177603,0.0730803235910042,0.00160465308814653,0.0254814022250088,0,0.672769158339017,0.721505989969954,0.59875105103631
"Gm43151",0.0815361516101185,0.00264866238374226,0.00160465308814653,0.111821337499539,0.0927653445970862,0.654982146699376,0.579053489597898,0.758157973172785
"Gm43076",0.174327190225779,0.0942895362657135,0.137771872386605,0.0972998802997504,0.08369013359515,1.28790644953813,1.20036855543968,1.33987025984172
"Gm43063",0.119002860210311,0.0693134617939873,0.492679013497343,0.162339504306518,0.285437437104882,0.884230588731451,0.770460187899088,0.913449995512013
"Gm42731",0.0369835769423422,0.00264866238374226,0.0305616045339861,0.0189773877333803,0.0215254601943812,0.486641889614786,0.454244684285831,0.57948452143066
"Gm38197",0.0634428353309252,0.0602475268467745,0.0444457294311546,0.0341608219771759,0.0453550774980177,0.806172079080477,0.668622651898031,0.747719955634096
"Gm38157",0.0509894411266505,0.174811885519572,0.0240246450128647,0.0612811151029331,0.0775759848823624,0.729297984028895,0.716832905008203,0.630661540049695
"Gm38066",0.0509894411266505,0.00264866238374226,0.0164849995429615,0.0254814022250088,0.0114052437398811,0.502867496435467,0.409288182091344,0.52286594121768
"Gm38056",0.0252191450629083,0.0215254601943812,0.0369835769423422,0.0141684727730847,0.0195019020575813,0.569409566109344,0.539044668253771,0.595318691010456
"Gm37728",0.101651720316488,0.138593027240718,0.0417500072017119,0.173333342103014,0.246052712033196,0.957791816750317,0.960064762358981,0.970395029717194
"Gm37352",0.147198415177603,0.107477128159163,0.0878042803011615,0.319968731187277,0.147602373990186,1.00562776801566,1.06279816511992,1.0098287260068
"Gm37324",0.201385965478208,0.238853833986437,0.590839922003783,0.592468226091311,0.539435394134458,1.01963149123529,1.09935927002508,1.05648842657786
"Gm37140",0.0478540745524143,0.00264866238374226,0.0984593490273276,0.21132577629077,0.174952161827226,1.09987500145517,0.903288278719806,1.06279816511992
"Gm36970",0.0215254601943812,0.00264866238374226,0.00160465308814653,0.00423825462833598,0.0854712537813375,0.751743500133038,0.706428898575079,0.683380012157048
"Gm29245",0.0252191450629083,0.00264866238374226,0.060878850790054,0.0485157949924377,0.0252191450629083,0.597048705569026,0.517338407778015,0.559474089306555
"Gm29157",0.00212916741234755,0.00264866238374226,0.00160465308814653,0.0374839197490514,0,0.621299893850843,0.535424914085325,0.582993508684436
"Gm28586",0.111108081749236,0.00264866238374226,0.46684060388505,0.0254814022250088,0.0680805072285762,0.677626983262128,0.779623903909116,0.803241189406785
"Gm28153",0.00212916741234755,0.00264866238374226,0.0795684888877611,0.00630713684821626,0.0240246450128647,0.392466893578996,0.565518745413076,0.450771847812782
"Gm27202",0.00212916741234755,0.00264866238374226,0.00160465308814653,0.031523806989335,0,0.492679013497343,0.47798976833107,0.483137433028882
"Gm26899",0.0797563332714939,0.0751507450367207,0.00160465308814653,0.0602475268467745,0.0419645806916116,0.585354029299997,0.54977617819622,0.558723627565312
"Gm26740",0.223861042809745,0.418823664372713,0.125451430687051,0.195198730944043,0.235336138115243,0.790664670610663,0.725914997147044,0.745308722769889
"Gm26674",0.0252191450629083,0.0827492600695224,0.103100293933474,0.0503306680077088,0.0453550774980177,0.482164894343086,0.660464530262612,0.473085309108421
"Gm23833",0.00212916741234755,0.263686645527842,0.173560484893957,0.081108634562563,0.133723937931767,0.718989859512346,0.509031064706769,0.609586315621327
"Gm20619",0.00212916741234755,0.00264866238374226,0.0144163594741848,0.0010750214702397,0,0.614467781763778,0.540804777783567,0.684047257449576
"Gm1818",0.0965448868667471,0.121247051195985,0.0444457294311546,0.0440096884504269,0.0403242736990226,0.724295337903701,0.687881074412067,0.703602434215551
"Gm17455",0.248691897570218,0.441903086358985,0.0305616045339861,0.365780414601412,0.274235148773308,1.08267977021975,1.2019073785982,1.06014726753295
"Gm17430",0.00212916741234755,0.00264866238374226,0.00160465308814653,0.163733082899903,0,0.743913568021367,0.825557783167577,0.756628754990464
"Gm17334",0.0369835769423422,0.00264866238374226,0.0305616045339861,0.0630361906562099,0.0642901090197437,1.20079847659642,1.32118634790947,1.21122948125504
"Gm17056",0.0612811151029331,0.0444457294311546,0.107803176047604,0.0602475268467745,0.0604765864771749,1.06800441952573,1.01158649364073,1.008298140057
"Gm16617",0.101651720316488,0.133723937931767,0.183659999764887,0.21132577629077,0.339234974212562,0.961730621063784,0.797922856262067,0.996611466594841
"Gm16587",0.00212916741234755,0.00264866238374226,0.060878850790054,0.0189773877333803,0.0164849995429615,0.600409897953868,0.606387312816392,0.732192627128425
"Gm16310",0.00212916741234755,0.00264866238374226,0.0274360478541805,0.031523806989335,0,0.491971632815901,0.402902674155352,0.518680361077982
"Gm16070",0.0317528666197353,0.0284036394681082,0.0897063493213758,0.00732697462632022,0.00630713684821626,0.610957129119683,0.622842271736301,0.639995467586834
"Gm16016",0.199443660863418,0.00264866238374226,0.214624486430323,0.0951853654431431,0.0897063493213758,0.781501073989178,0.763809766965906,0.69068129270908
"Gm15788",0.343193351435584,0.253658342625719,0.226299383217438,0.111821337499539,0.227540178960069,0.659992827101593,0.774950217669999,0.797922856262067
"Gm15712",0.128704713905437,0.0602475268467745,0.0751507450367207,0.251825075079965,0.293008815218133,0.814710635448107,0.778336246574329,0.785661559030653
"Gm15270",0.197358385493326,0.199443660863418,0.0849288999094633,0.216960306693251,0.149646198993013,1.32463351719333,1.29214612603898,1.32118634790947
"Gm14964",0.364051668985054,0.220685880716538,0.111432183071521,0.61054947417328,0.740118959675838,1.14501667943703,0.998146432475672,1.25182511752591
