"","DCT1","DCT2","DCT3","ERST2","ERST3","LC1","LC2","LC3"
"Serpinb3b",0.0369835769423422,0.0751507450367207,0.332922782368941,1.91548044323923,1.96581048977741,0.0317528666197353,0.0369835769423422,0.031523806989335
"Serpinb12",0.152409520714166,0.165606505501443,0.481343737464092,2.10752940626309,2.17283623344665,0.123533884454679,0.212292699615795,0.031523806989335
"Serpina3h",0.460925561349126,0.53141411095301,0.725914997147044,1.5965980446704,1.56488628553733,0.204200119790601,0.243374036954861,0.163733082899903
"Sema3d",0.590839922003783,0.582579769628176,0.621491536782877,1.27546617583988,1.24909403502416,0.74571873158821,0.664807215464771,0.734887900572711
"Selplg",0.934588578475484,1.00237552740152,0.622842271736301,1.40965323499237,1.39961414996743,0.559474089306555,0.502535933872363,0.444647154576198
"Sectm1a",0.590839922003783,0.51052853817325,0.635026482940818,1.3258691458504,1.35116660716068,0.557491517214433,0.653665450897856,0.489237438915114
"Sec14l4",0.706734565244964,0.694351534798312,0.942288567213509,1.98166446432627,1.92345050831675,0.692441602025421,0.698139012327495,0.704712806645046
"Scd3",0.614793338814401,0.642904146222292,0.560009006732323,1.50644985365233,1.54088742262704,0.147904026345964,0.148805300696964,0.121247051195985
"Rps3a3",0.0827492600695224,0.00264866238374226,0.169819549065765,3.00922330544938,3.03322392303181,0.267987915004715,0.179067212588066,0.284142966267392
"Rps3a2",0.0403242736990226,0.0775759848823624,0.0215254601943812,2.74441155836853,2.77686377822285,0.0317528666197353,0.518358011103275,0.437455172092151
"Rpl15-ps2",0.00212916741234755,0.00264866238374226,0.125451430687051,1.6739719465509,1.70009329416225,0.0317528666197353,0.293945439026307,0.031523806989335
"Rnf225",0.750453534779206,0.822014255417312,0.844045039041068,1.40840766988769,1.39388996353067,0.192079722540681,0.215857892876111,0.227388114668132
"Rdh1",0.454453868349895,0.454453868349895,0.573838449111687,1.53298686667266,1.5076892820026,0.270705267112501,0.174327190225779,0.238853833986437
"Qpct",1.05250330882458,1.03742537053399,1.06893670235614,1.58526366366288,1.67266115622113,0.426441797873136,0.486994869142358,0.491411210487506
"Ptprc",0.473741222908909,0.472702681265755,0.406110279187183,0.948593309782681,0.931351192963806,0.328333795432489,0.291011043233118,0.332284811363715
"Psca",0.560009006732323,0.524055052951954,0.556959362039503,1.1703291971029,1.18331954813459,0.229570349343909,0.283860985377443,0.297862262189605
"Prkcb",0.531962095008183,0.478430523149478,0.626335657609018,1.15225274438908,1.0761124546939,0.273005829404036,0.355648642923839,0.337643230368102
