Gene_ID,Gene_Name,CRT1,CRT2,CRT3,VRT2,VRT1,DRT2,DRT1,Average(CRT),Average(VRT),Average(DRT),logFC.CRT,logFC.DRT,relative.CRT,relative.DRT,PValue
ENSMUSG00000022440.8,C1qtnf6,9.4,5.64,8.18,12.55,16.03,4.51,5.35,7.74,14.29,4.93,-1.150101524,-1.473821911,0.450593522,0.360027269,0.002911126
ENSMUSG00000028445.7,Enho,7.99,5.12,7.78,18.81,12.73,6.38,6.41,6.963333333,15.77,6.395,-1.442738061,-1.248751791,0.367868471,0.420812134,0.003218022
ENSMUSG00000070166.1,Gm25821,0,0,0,2.95,7.27,0,0,0,5.11,0,-5.501673871,-5.501673871,0.022071464,0.022071464,0.00330904
ENSMUSG00000093843.1,Gm25939,0,0,0,10.85,5.06,3.09,2.18,0,7.955,2.635,-6.128838178,-1.514285226,0.01429012,0.350069863,0.003412072
ENSMUSG00000101089.1,2610016A17Rik,1.23,0.98,1.01,6.41,2.94,0.53,0,1.073333333,4.675,0.265,-2.260978364,-3.626485543,0.208630449,0.080969055,0.003468194
ENSMUSG00000075566.2,Krtap4-6,905.7,1187.98,745.01,2125.97,1711.51,848.19,967.99,946.23,1918.74,908.09,-1.31309217,-1.059896129,0.402457356,0.479666594,0.004111514
ENSMUSG00000069582.3,Krtap10-4,203.79,326.29,189.33,682.84,492.03,262.15,292.65,239.8033333,587.435,277.4,-1.588534178,-1.068047998,0.332509121,0.476963906,0.004319917
ENSMUSG00000095970.1,Gm19402,126.83,239.87,119.97,415.3,396.06,167.54,173.65,162.2233333,405.68,170.595,-1.60082173,-1.219415072,0.32968914,0.429456802,0.004458902
ENSMUSG00000071195.3,Gm10318,184.7,337.11,184.71,728.07,521.91,250.11,280.78,235.5066667,624.99,265.445,-1.702620507,-1.221325808,0.307227549,0.428888397,0.004525406
ENSMUSG00000083798.1,Gm14584,0,0,0,1.42,3.69,1.14,0.98,0,2.555,1.06,-4.533170446,-1.147404266,0.043189654,0.451436738,0.004869341
ENSMUSG00000106881.1,AC121818.1,5.77,2.68,2.19,10.79,8.72,1.17,3.3,3.546666667,9.755,2.235,-1.700818103,-2.031919686,0.307611618,0.244529481,0.005353666
ENSMUSG00000084235.2,Gm15421,17.96,9.44,1.81,37.25,36.95,3.25,10.08,9.736666667,37.1,6.665,-2.195574528,-2.418913549,0.21830627,0.186996925,0.005989039
ENSMUSG00000020963.14,Tshr,2.39,3.07,2.81,3.48,6.56,0.31,0.25,2.756666667,5.02,0.28,-1.105891462,-3.670535406,0.46461529,0.078534185,0.006157958
ENSMUSG00000001349.4,Cnn1,4.82,2.27,5.92,8.23,8.54,1.69,1.94,4.336666667,8.385,1.815,-1.205014074,-2.100632465,0.433765112,0.233156012,0.007003393
ENSMUSG00000106431.1,AC125099.2,0,0,0,4.41,5.98,2.25,0,0,5.195,1.125,-5.524953304,-2.061323022,0.021718175,0.239596208,0.00767793
ENSMUSG00000079941.1,Gm11273,4.36,2.87,12.59,8.83,14.92,0.7,0,6.606666667,11.875,0.35,-1.109196956,-4.656521759,0.463551985,0.039650373,0.009901365
ENSMUSG00000031551.12,Ido1,0,0.07,0,1.72,2.13,0.11,0,0.023333333,1.925,0.055,-3.922590921,-3.569201095,0.065945091,0.084248739,0.011350753
ENSMUSG00000094913.2,Gm9507,274.68,507.75,241.55,766.56,640.04,266.24,284.23,341.3266667,703.3,275.235,-1.328469531,-1.330941168,0.398190434,0.397508835,0.011518064
ENSMUSG00000105031.1,Gm3511,0,0,0,6.51,2.2,0.66,2,0,4.355,1.33,-5.276535172,-1.591702856,0.025799105,0.331779613,0.014043614
ENSMUSG00000096380.1,Gm19668,64.62,128.16,58.67,197.72,167.71,90.15,87.08,83.81666667,182.715,88.615,-1.407591919,-1.017508799,0.376940334,0.493968586,0.014172707
ENSMUSG00000033831.5,Fgb,0,0,0,1.51,1.68,0,0,0,1.595,0,-3.89042733,-3.89042733,0.067431788,0.067431788,0.014219495
ENSMUSG00000069622.4,Gm10273,6.28,21.77,9.41,23.82,31,4.48,9.28,12.48666667,27.41,6.88,-1.401889611,-1.935898377,0.378433153,0.261358434,0.015821275
