Gene_ID,Gene_Name,CRT1,CRT2,CRT3,VRT2,VRT1,DRT2,DRT1,Average(CRT),Average(VRT),Average(DRT),logFC.CRT,logFC.DRT,relative.CRT,relative.DRT,PValue
ENSMUSG00000042686.5,Jph1,3.62,3.51,4.51,0.35,0.39,1.09,1.38,3.88,0.37,1.235,2.770313443,1.51332895,6.822561259,2.854679836,0.033174732
ENSMUSG00000022525.13,Hrasls,5.19,2.79,4.97,0.65,0.44,1.63,1.26,4.316666667,0.545,1.445,2.474859478,1.278106644,5.559131379,2.425204903,0.036104916
ENSMUSG00000035694.15,Caps2,1.07,1.05,1.2,0.05,0.53,3.49,2.76,1.106666667,0.29,3.125,1.341077949,3.038017476,2.533405384,8.213615861,0.036257338
ENSMUSG00000082593.1,Gm11331,2.19,2.33,4.8,0,0.23,1.33,1.17,3.106666667,0.115,1.25,3.537340536,2.604565888,11.61035787,6.082084616,0.036424859
ENSMUSG00000028023.16,Pitx2,4.31,3.68,4.64,0.52,0.62,1.06,1.52,4.21,0.57,1.29,2.386300394,1.073227251,5.228149492,2.104134972,0.03915946
ENSMUSG00000067292.3,Gm10203,1.99,2.33,2.93,0,0,1.11,0.8,2.416666667,0,0.955,4.190578055,3.250370808,18.25953416,9.516102478,0.039531938
ENSMUSG00000051107.4,Gm15440,5.73,3.98,4.66,0.51,1.05,1.28,2.02,4.79,0.78,1.65,2.181252379,1.017306466,4.535470999,2.024136335,0.040915504
ENSMUSG00000039376.13,Synpo2l,3.95,2.64,3.96,0.37,0.25,1.24,0.96,3.516666667,0.31,1.1,2.824030657,1.551368715,7.081380595,2.930950728,0.041162351
ENSMUSG00000085487.1,Gm15654,0.77,0,0,0,0,1.02,2.31,0.256666667,0,1.665,1.502372134,3.986178414,2.833081557,15.84744563,0.044251773
ENSMUSG00000072852.3,2310040G07Rik,3.62,2.02,3.98,0.38,0.26,0.55,0.92,3.206666667,0.32,0.735,2.662700483,1.000958175,6.332172171,2.001328754,0.045420943
ENSMUSG00000106512.1,Gm43078,5.4,7.29,5.52,2.3,0,3.41,3.18,6.07,1.15,3.295,2.015195392,1.469464971,4.042353227,2.76919178,0.046606682
ENSMUSG00000035606.8,Ky,2.59,1.74,3.01,0.05,0.22,0.36,0.41,2.446666667,0.135,0.385,3.089349059,1.03028728,8.511120395,2.042430915,0.047063395
