Gene_ID,Gene_Name,CRT1,CRT2,CRT3,VRT2,VRT1,DRT2,DRT1,Average(CRT),Average(VRT),Average(DRT),logFC.VRT,logFC.CRT,relative.VRT,relative.CRT,PValue
ENSMUSG00000046275.2,Tusc5,38.91,39.22,38.96,27.26,28.89,2.15,1.31,39.03,28.075,1.73,3.89625967,4.090134711,14.88987431,17.03151315,6.80124E-07
ENSMUSG00000032271.13,Nnmt,63.39,59.44,67.27,61.1,64.36,5.45,7.2,63.36666667,62.73,6.325,3.250020629,2.982047435,9.513792953,7.901066669,7.38497E-07
ENSMUSG00000066154.11,Mup3,3.26,2.93,2.54,12.77,14.11,1.21,0.95,2.91,13.44,1.08,3.466806666,1.034944921,11.0563759,2.049035417,8.4123E-07
ENSMUSG00000030278.11,Cidec,209.07,154.34,194.09,138.22,185.44,8.12,7.24,185.8333333,161.83,7.68,4.329726112,4.253187529,20.10839615,19.06939977,8.52184E-07
ENSMUSG00000073842.10,Mup7,12.88,17.41,15.8,59.89,82.79,3.27,5.78,15.36333333,71.34,4.525,3.901537644,1.42180167,14.94444737,2.679198866,1.08358E-06
ENSMUSG00000022878.5,Adipoq,352.79,344.74,358.25,509.61,421.05,25.59,25.27,351.9266667,465.33,25.43,4.165158488,3.46463011,17.94062802,11.03970801,1.79818E-06
ENSMUSG00000026922.13,Agpat2,47.57,43.04,46.34,58.31,63.09,9.53,12.07,45.65,60.7,10.8,2.440266196,1.748836791,5.427418645,3.360874778,2.05749E-06
ENSMUSG00000026574.5,Dpt,371.81,380.19,372.33,183.05,193.15,48.77,46.67,374.7766667,188.1,47.72,1.940293949,2.650741073,3.837838358,6.279897765,2.69075E-06
ENSMUSG00000012705.16,Retn,128.54,120.23,111.89,331.09,260.36,16.18,17.86,120.22,295.725,17.02,4.090026558,2.493109771,17.03023642,5.62990185,2.78509E-06
ENSMUSG00000015568.15,Lpl,134.38,108.07,133.67,125.88,179.48,16.97,16.62,125.3733333,152.68,16.795,3.125833685,2.569512629,8.729104662,5.936088617,3.04061E-06
ENSMUSG00000073830.11,Mup14,33.89,31.31,29.33,41.6,40.43,2.88,1.64,31.51,41.015,2.26,4.078142929,3.41759853,16.89053276,10.68561864,3.04916E-06
ENSMUSG00000033880.11,Lgals3bp,41.24,39,40.61,33.79,39.01,7.67,5.53,40.28333333,36.4,6.6,2.403083966,2.269784754,5.289326254,4.822511752,3.61899E-06
ENSMUSG00000078674.2,Mup18,349.35,471.47,332.08,527.64,568.26,24.89,21.29,384.3,547.95,23.09,4.524591416,3.734927123,23.0164179,13.31450717,3.661E-06
ENSMUSG00000055737.12,Ghr,44.05,44.77,49.74,42.33,48.57,10.73,11.53,46.18666667,45.45,11.13,1.978923275,1.722760526,3.941987701,3.300673706,5.35058E-06
ENSMUSG00000032496.7,Ltf,0.21,0,0.22,7.61,9.87,0,0,0.143333333,8.74,0,6.262694793,1.016973057,76.78192329,2.023668609,5.37693E-06
ENSMUSG00000018339.11,Gpx3,426.66,303.77,407.17,213.03,193.15,28.85,26.5,379.2,203.09,27.675,2.84195338,3.446029391,7.1699019,10.8982863,6.35159E-06
ENSMUSG00000021033.10,Gstz1,46.76,39.08,44.2,44.23,53.56,12.19,13.34,43.34666667,48.895,12.765,1.88706946,1.434936548,3.698831193,2.70370275,7.72664E-06
ENSMUSG00000020053.18,Igf1,29.8,25.86,27.74,30.64,29.09,4.15,3.12,27.8,29.865,3.635,2.961790081,2.577878104,7.790900454,5.970609044,7.74777E-06
ENSMUSG00000000318.16,Clec10a,28.33,22.97,27.71,18.06,18.6,3.34,2.74,26.33666667,18.33,3.04,2.509089749,2.749602593,5.692607966,6.725318499,7.92869E-06
ENSMUSG00000067786.16,Nnat,48.57,50.59,49.81,34.3,27.8,2.74,1.52,49.65666667,31.05,2.13,3.76145698,4.153093203,13.56161398,17.79121585,8.12545E-06
ENSMUSG00000022665.14,Ccdc80,118.5,97.46,116.81,53.06,85.04,12.04,11.92,110.9233333,69.05,11.98,2.464238172,2.877213301,5.518354628,7.34729551,8.4552E-06
ENSMUSG00000054203.7,Ifi205,24.87,24.99,28.65,15.74,18.54,3.2,4.3,26.17,17.14,3.75,2.11910856,2.44788212,4.344254308,5.456145509,8.70419E-06
ENSMUSG00000027559.5,Car3,1905.4,1532.4,1850.12,1557.81,2434.16,229.4,224.47,1762.64,1995.985,226.935,3.07929334,2.63356917,8.452003356,6.20559339,8.77448E-06
ENSMUSG00000079168.3,Cd209g,17.75,14.65,16.57,7.82,7.6,1.52,0.98,16.32333333,7.71,1.25,2.482061029,3.27487088,5.586950464,9.679086403,8.79595E-06
ENSMUSG00000035373.2,Ccl7,35.56,28.27,36.43,14.88,16.46,3.87,4.81,33.42,15.67,4.34,1.785911626,2.593341414,3.448362941,6.034948309,8.95263E-06
ENSMUSG00000037095.7,Lrg1,94.67,90.95,73.34,97.53,108.89,17.06,16.28,86.32,103.21,16.67,2.583213612,2.04576075,5.992730984,4.128909366,9.18945E-06
ENSMUSG00000051906.14,Cd209f,48.33,34.54,41.31,25.14,25.05,2.68,3.22,41.39333333,25.095,2.95,3.002609664,3.440432387,8.014484144,10.85608779,9.43873E-06
ENSMUSG00000028076.12,Cd1d1,26.09,24.55,24.66,19.86,26.29,5.51,5.12,25.1,23.075,5.315,2.053746988,1.897120146,4.151828894,3.724689453,1.01242E-05
ENSMUSG00000021388.13,Aspn,32.2,29.98,34.53,16.33,17.59,7.29,7.56,32.23666667,16.96,7.425,1.139866508,1.782397805,2.203606324,3.439974344,1.06228E-05
ENSMUSG00000056529.7,Ptafr,11.59,10.31,12.1,3.87,3.94,0.67,0.53,11.33333333,3.905,0.6,2.456653619,3.689639004,5.489419594,12.9030391,1.13616E-05
ENSMUSG00000079017.3,Ifi27l2a,755.39,654.67,679.64,697.08,526.33,62.45,65.97,696.5666667,611.705,64.21,3.232642623,3.116277118,9.399881847,8.671473225,1.21481E-05
ENSMUSG00000072596.4,Ear2,79.83,70.31,81.87,21.82,13.7,6.05,8.64,77.33666667,17.76,7.345,1.227985504,3.056370667,2.342396827,8.318772521,1.3018E-05
ENSMUSG00000078680.3,Mup10,703.18,1170.64,732,1421.17,1716.4,69.43,72.33,868.6066667,1568.785,70.88,4.423629401,3.30211612,21.46076206,9.863612479,1.39807E-05
ENSMUSG00000030116.14,Mfap5,98.26,76.45,98.97,87.96,113.13,21.87,21.52,91.22666667,100.545,21.695,2.161950253,1.744124552,4.475194087,3.349915145,1.40528E-05
ENSMUSG00000037206.14,Islr,17.19,14.91,14.86,7.95,7.22,1.77,1.7,15.65333333,7.585,1.735,2.019516977,2.775600107,4.054480227,6.847607962,1.58208E-05
ENSMUSG00000004814.10,Ccl24,22.52,16.96,23.38,8.85,7.12,0.72,0.73,20.95333333,7.985,0.725,3.234697181,4.334529273,9.413277862,20.17545455,1.69415E-05
ENSMUSG00000078673.10,Mup19,11.25,17.58,20.84,35.43,50.83,1.07,0.67,16.55666667,43.13,0.87,5.417176209,3.767489768,42.72996437,13.61844209,1.75835E-05
ENSMUSG00000001128.7,Cfp,32.46,24.02,34.08,13.22,14.57,3.05,2.43,30.18666667,13.895,2.74,2.256122,3.089413268,4.777056698,8.511499199,1.94555E-05
ENSMUSG00000003518.13,Dusp3,56.68,47.85,57.27,22.7,31.84,12.43,13.15,53.93333333,27.27,12.79,1.042826012,1.74627296,2.060259427,3.354907431,2.03822E-05
ENSMUSG00000076617.9,Ighm,28.65,22.67,28.08,19.27,24.78,5.25,4.99,26.46666667,22.025,5.12,2.039953211,2.025532395,4.112321936,4.071420961,2.26746E-05
ENSMUSG00000039956.8,Mrap,24.22,19.7,17.64,30.8,27.18,1.16,1.86,20.52,28.99,1.51,4.127452777,3.35052194,17.47781313,10.20017458,2.30266E-05
ENSMUSG00000023064.4,Sncg,86.67,73.75,82.77,149.15,116.31,19.46,17.97,81.06333333,132.73,18.715,2.795672666,1.786956639,6.943546214,3.45086166,2.48233E-05
ENSMUSG00000053475.5,Tnfaip6,19.48,17.63,24.21,5.34,7.88,2.26,2.29,20.44,6.61,2.275,1.453477696,2.787387114,2.738674289,6.90378298,2.59124E-05
ENSMUSG00000061100.3,Retnla,715.01,498.3,697.71,323.75,200.37,25.85,27.73,637.0066667,262.06,26.79,3.276806141,4.241380484,9.692078842,18.9139723,2.63033E-05
ENSMUSG00000024011.16,Pi16,40.67,30.12,42.6,17.47,15.68,3.81,3.46,37.79666667,16.575,3.635,2.116353877,3.01843644,4.335967302,8.102889353,2.75231E-05
ENSMUSG00000056973.6,Ces1d,56.64,57.5,56.59,39.61,44.33,17.3,14.02,56.91,41.97,15.66,1.375844119,1.534533864,2.595197112,2.896948152,2.78626E-05
ENSMUSG00000001918.17,Slc1a5,56.02,45.59,53.51,21.95,37.93,5.77,6.24,51.70666667,29.94,6.005,2.25086788,2.762250784,4.759690879,6.784538971,2.83158E-05
ENSMUSG00000018169.12,Mfng,13.06,12.46,12.9,8.38,12.4,1.2,1.33,12.80666667,10.39,1.265,2.890483224,2.912526251,7.415187764,7.529354837,2.98927E-05
ENSMUSG00000033022.7,Cdo1,53.89,49.18,53.35,75.13,53.14,3.8,3.94,52.14,64.135,3.87,3.985290701,3.394072174,15.83769745,10.51277893,3.06106E-05
ENSMUSG00000022235.14,Cmbl,34.55,28.05,34.66,13.34,18.01,7.7,7.41,32.42,15.675,7.555,1.000904263,1.765497081,2.001253967,3.399911235,3.31833E-05
ENSMUSG00000028551.14,Cdkn2c,35.94,37.7,44.98,42.09,42.78,9.99,10.76,39.54,42.435,10.375,1.982615008,1.599533209,3.952087826,3.030452457,3.73835E-05
ENSMUSG00000030495.12,Slc7a10,12.57,12.01,16.26,11.46,10.96,0.77,1.05,13.61333333,11.21,0.91,3.429846666,3.429735453,10.77672317,10.77589246,3.82435E-05
ENSMUSG00000019278.4,Dpep1,23.42,16.91,23.29,10.14,12.23,2.78,2.69,21.20666667,11.185,2.735,1.948194917,2.585687362,3.858914067,6.003015369,4.02641E-05
ENSMUSG00000022225.6,Cma1,72.34,47.22,66.95,34.97,32.2,6.33,5.9,62.17,33.585,6.115,2.399648153,3.000080066,5.276744585,8.000443995,4.33932E-05
ENSMUSG00000069516.7,Lyz2,532.05,302.57,537.68,194.87,194.18,38.85,39.44,457.4333333,194.525,39.145,2.277146784,3.215415548,4.847183782,9.288306295,4.51619E-05
