Gene_ID,Gene_Name,CRT1,CRT2,CRT3,VRT2,VRT1,DRT2,DRT1,Average(CRT),Average(VRT),Average(DRT),logFC.VRT,logFC.DRT,relative.VRT,relative.DRT,PValue
ENSMUSG00000059895.12,Ptp4a3,23.94,19.05,24.09,5.32,5.1,6.25,6.24,22.36,5.21,6.245,-1.798562218,-1.502861857,0.287460928,0.352852746,1.95419E-05
ENSMUSG00000062077.14,Trim54,20.53,13.48,21.25,0.53,0.82,3.3,3.47,18.42,0.675,3.385,-4.273460382,-2.08731227,0.051708298,0.235318676,2.01069E-05
ENSMUSG00000074218.2,Cox7a1,281.57,169.21,259.8,24.09,25.84,78,73.64,236.86,24.965,75.82,-2.952325506,-1.31537488,0.129199688,0.40182107,2.12701E-05
ENSMUSG00000028396.5,2310002L09Rik,27.44,20.86,27.16,2.83,1.2,6.17,6.79,25.15333333,2.015,6.48,-3.288801895,-1.619253495,0.102322697,0.325503848,2.22607E-05
ENSMUSG00000068614.7,Actc1,24.91,15.53,24.05,0.37,0.27,3.99,5.38,21.49666667,0.32,4.685,-5.35484992,-1.852479761,0.024435968,0.276915985,2.23836E-05
ENSMUSG00000026817.14,Ak1,245.79,173.69,253.32,30.76,45.83,63.6,61.17,224.2666667,38.295,62.385,-2.270794103,-1.519235699,0.207215797,0.34887069,2.53709E-05
ENSMUSG00000053475.5,Tnfaip6,19.48,17.63,24.21,5.34,7.88,2.26,2.29,20.44,6.61,2.275,-1.333909418,-2.787387114,0.396691828,0.144848122,2.59124E-05
ENSMUSG00000028773.8,Fabp3,172.79,95.07,167.34,10.22,10.24,32.5,32.43,145.0666667,10.23,32.465,-3.523292108,-1.8296212,0.086972788,0.281338481,2.68073E-05
ENSMUSG00000031519.2,Asb5,27.25,18.26,28.06,1.48,1.61,6.37,7.44,24.52333333,1.545,6.905,-3.612347643,-1.492543293,0.081766424,0.355385496,2.70615E-05
ENSMUSG00000026950.16,Neb,314.65,170.3,311.95,15.48,22.38,61.55,64.46,265.6333333,18.93,63.005,-3.520910504,-1.74660133,0.087116481,0.298002982,2.84183E-05
ENSMUSG00000036854.14,Hspb6,230.45,124.32,222.56,13.86,11.85,42.04,43.19,192.4433333,12.855,42.615,-3.600155408,-1.845089168,0.082460361,0.278338201,2.86524E-05
ENSMUSG00000075307.3,Klhl41,56.9,39.36,62.14,1.95,4.68,16.8,15.56,52.8,3.315,16.18,-3.66749332,-1.377926048,0.078699958,0.384771528,3.05998E-05
ENSMUSG00000021622.3,Ckmt2,205.14,97.81,195.42,5.93,7.19,27.85,27.03,166.1233333,6.56,27.44,-4.351304663,-2.264943669,0.048992181,0.208057807,3.19486E-05
ENSMUSG00000027777.15,Schip1,41.15,38.7,47.49,9.64,13.46,16.01,13.49,42.44666667,11.55,14.75,-1.588969155,-1.197877811,0.332408884,0.435916038,3.22125E-05
ENSMUSG00000030785.8,Cox6a2,455.17,254.18,419.65,28.27,17.6,73.5,76,376.3333333,22.935,74.75,-3.724302962,-2.003091154,0.075661177,0.249464917,3.49451E-05
ENSMUSG00000021456.7,Fbp2,26.61,18.5,23.86,4.64,5.71,5.35,5.56,22.99,5.175,5.455,-1.848130648,-1.734007204,0.277752028,0.300615811,3.78999E-05
ENSMUSG00000022215.5,Fitm1,67.04,37.5,63.97,2.31,3.55,10.45,10.17,56.17,2.93,10.31,-3.926708527,-2.110786708,0.065757145,0.231520732,4.15073E-05
ENSMUSG00000020882.17,Cacnb1,17.62,11.61,16.6,1.79,1.52,3.57,3.2,15.27666667,1.655,3.385,-2.842274501,-1.81971343,0.139440881,0.283277235,4.38429E-05
ENSMUSG00000001508.15,Sgca,20.57,13.02,20.39,1.51,1.49,3.59,3.47,17.99333333,1.5,3.53,-3.20851119,-1.995124163,0.108178733,0.250846348,4.39758E-05
ENSMUSG00000026407.17,Cacna1s,38.48,24.37,33.74,2.93,1.93,10.38,11.76,32.19666667,2.43,11.07,-3.385940041,-1.210781327,0.095660024,0.432034573,4.53744E-05
ENSMUSG00000025791.18,Pgm2,60.28,43.36,59.15,12.89,18.72,13.46,13.47,54.26333333,15.805,13.465,-1.49323684,-1.680626425,0.355214692,0.311947159,4.67054E-05
ENSMUSG00000085779.1,Atcayos,21.93,14.15,22.89,0.99,0.87,6.11,6.25,19.65666667,0.93,6.18,-3.962879953,-1.332877686,0.06412897,0.39697562,4.70084E-05
ENSMUSG00000029158.9,Yipf7,12.7,8.43,11.96,0.74,0.93,3.65,3.15,11.03,0.835,3.4,-3.275138393,-1.348806853,0.10329638,0.392616619,4.71701E-05
ENSMUSG00000023153.9,Tmem52,49.72,28.13,46.01,2.97,1.22,4.67,5.3,41.28666667,2.095,4.985,-3.945912231,-2.700887001,0.064887652,0.153798464,5.16563E-05
ENSMUSG00000033065.13,Pfkm,88.39,54.59,91.29,5.8,9.19,25.08,25.57,78.09,7.495,25.325,-3.080063336,-1.296946207,0.118252014,0.406986767,5.38562E-05
ENSMUSG00000019787.8,Trdn,30.95,20.44,32.74,2.21,2.23,10.17,9.69,28.04333333,2.22,9.93,-3.312362429,-1.167585143,0.100665244,0.445165859,5.48011E-05
ENSMUSG00000023034.6,Nr4a1,69.51,70.15,69.31,13.11,25.5,20.86,21.54,69.65666667,19.305,21.2,-1.572289029,-1.391668642,0.336274426,0.381123734,5.97179E-05
ENSMUSG00000038403.10,Hfe2,16.98,12.2,19.87,1.12,1.21,5.24,5.39,16.35,1.165,5.315,-3.406886671,-1.282757771,0.094281161,0.411009096,6.1711E-05
ENSMUSG00000055489.7,Ano5,7.64,8.37,9.29,0.67,0.5,1.67,1.4,8.433333333,0.585,1.535,-3.333899049,-2.059580499,0.09917367,0.239885773,6.39876E-05
ENSMUSG00000049422.6,Chchd10,326.9,232.63,280.68,91.52,81.47,67.66,64.39,280.07,86.495,66.025,-1.39870963,-1.758714406,0.379268214,0.29551138,7.07404E-05
ENSMUSG00000068887.4,Lce1j,52.96,52.99,44.33,20.43,13.82,5.32,7.45,50.09333333,17.125,6.385,-1.259292758,-2.631293718,0.417748699,0.161399306,7.11957E-05
ENSMUSG00000032523.10,Hhatl,25.7,16.25,18.99,2.56,1.71,4.12,4.58,20.31333333,2.135,4.35,-2.90365843,-1.875874846,0.133632384,0.272461663,7.58546E-05
ENSMUSG00000107362.1,Gm42724,30.29,32.67,32.36,11.94,13.85,11.68,11.77,31.77333333,12.895,11.725,-1.014944167,-1.110815788,0.494847479,0.46303213,7.8322E-05
ENSMUSG00000031636.6,Pdlim3,79.98,52.75,77.08,13.93,12.42,24.08,25.49,69.93666667,13.175,24.785,-2.113687242,-1.170090489,0.231055728,0.444393466,8.1371E-05
ENSMUSG00000031097.14,Tnni2,1606.62,1072.18,1464.37,123.54,66.83,389.07,440.55,1381.056667,95.185,414.81,-3.536823726,-1.410936233,0.086160849,0.37606756,9.2657E-05
ENSMUSG00000089718.1,2310075C17Rik,16.29,13.92,13.1,1.09,0,3.18,2.27,14.43666667,0.545,2.725,-4.184330556,-2.040801503,0.055003584,0.243028682,9.35267E-05
ENSMUSG00000062694.7,Cav3,24.29,16.09,27.09,1.75,2.34,6.34,7.18,22.49,2.045,6.76,-3.108558141,-1.398539799,0.115939322,0.379312863,9.45186E-05
ENSMUSG00000000253.12,Gmpr,35.62,22.09,35.6,4.44,3.91,7.39,6.91,31.10333333,4.175,7.15,-2.583098044,-1.7836857,0.166882196,0.29044045,9.59552E-05
ENSMUSG00000044951.13,Mylk4,11.33,7,8.05,0.67,0.54,2.05,2.17,8.793333333,0.605,2.11,-3.352587284,-1.686908204,0.097897289,0.310591832,0.00010105
ENSMUSG00000028328.13,Tmod1,20.94,15.61,23.59,3.12,4.53,5.66,6.23,20.04666667,3.825,5.945,-2.07700962,-1.416033397,0.237005161,0.374741225,0.000102892
ENSMUSG00000018893.14,Mb,206.23,99.89,203.14,12.22,9.61,47.59,48.53,169.7533333,10.915,48.06,-3.651695808,-1.490173514,0.079566458,0.355969734,0.000104622
ENSMUSG00000027499.12,Pkia,23.58,14.92,22.45,1.72,3.23,5.72,5.67,20.31666667,2.475,5.695,-2.701323211,-1.495879012,0.153751969,0.354564742,0.000106609
ENSMUSG00000020326.7,Ccng1,43.79,33.91,45.6,6.79,12.94,12.68,14.07,41.1,9.865,13.375,-1.768229034,-1.291340782,0.293568884,0.408571144,0.00011079
ENSMUSG00000023336.5,Wfdc1,18.7,12.91,16.91,4.11,2.54,2.99,2.84,16.17333333,3.325,2.915,-1.965020651,-2.109495666,0.256135539,0.231728008,0.000112658
ENSMUSG00000061462.15,Obscn,16.72,9.35,14.43,0.58,0.73,3.98,4.25,13.5,0.655,4.115,-3.866186759,-1.369583247,0.068574368,0.387003026,0.000115502
ENSMUSG00000031239.5,Itm2a,91.94,68.73,90.16,27.96,38.58,27.05,27.53,83.61,33.27,27.29,-1.048495749,-1.289240583,0.483472002,0.409166353,0.000117756
ENSMUSG00000019997.11,Ctgf,47.54,63.96,49.86,6.15,11.65,18.16,20.61,53.78666667,8.9,19.385,-2.305013518,-1.149619202,0.202358658,0.450744189,0.000118869
ENSMUSG00000033044.12,Dhrs7c,16.16,11.41,16.59,2.03,0.97,4.82,4.09,14.72,1.5,4.455,-2.921316061,-1.381554946,0.13200678,0.383804905,0.000118894
ENSMUSG00000020722.5,Cacng1,23.7,14.33,19.55,2.32,2.26,3.91,5.63,19.19333333,2.29,4.77,-2.726443962,-1.66485349,0.151097955,0.315376378,0.000119869
ENSMUSG00000035296.13,Sgcg,21.11,12.73,21.84,1.23,1.48,5.69,5.46,18.56,1.355,5.575,-3.388541245,-1.396484781,0.095487702,0.379853553,0.000124037
ENSMUSG00000051373.5,Ppapdc3,12.87,7.99,10.28,1.69,1.25,2.13,1.84,10.38,1.47,1.985,-2.450333798,-2.006262126,0.182968373,0.248917208,0.000131193
ENSMUSG00000027887.11,Sypl2,13.83,8.16,14.36,0.66,0.65,3.05,3.32,12.11666667,0.655,3.185,-3.711954323,-1.573832982,0.076311573,0.335914742,0.000135564
ENSMUSG00000027470.9,Mylk2,17.94,10.89,15.78,0.34,1.41,4.85,4.65,14.87,0.875,4.75,-3.641936925,-1.305709497,0.080106497,0.404522121,0.000136738
ENSMUSG00000031382.14,Asb11,19.08,10.47,17.52,0.61,1.24,3.61,3.47,15.69,0.925,3.54,-3.647474652,-1.795225973,0.079799601,0.288126453,0.000146638
ENSMUSG00000047889.8,Serpinb6d,140.38,289.4,147.06,36.37,29.71,9.8,10.06,192.28,33.04,9.93,-2.258011237,-3.951138734,0.209059972,0.064653006,0.000149779
ENSMUSG00000017754.13,Pltp,63.09,38.33,59.14,22.04,19.81,7.24,7.16,53.52,20.925,7.2,-1.065906755,-2.552868316,0.47767234,0.17041588,0.000152744
ENSMUSG00000031782.14,Coq9,70.42,54.9,62.65,26.8,24.25,22.08,19.38,62.65666667,25.525,20.73,-1.007522765,-1.269350034,0.497399594,0.414846628,0.00015411
ENSMUSG00000104940.1,Gm42908,15.62,20.52,15.52,3.31,3.68,1.7,3.72,17.22,3.495,2.71,-1.985986541,-2.300959864,0.252440179,0.202928041,0.000157019
ENSMUSG00000051747.14,Ttn,356.87,149.75,324.95,15.16,9.94,109.16,108.46,277.19,12.55,108.81,-4.151180496,-1.017875295,0.056282082,0.493843116,0.000162515
ENSMUSG00000025488.8,Cox8b,636.72,363.59,593.13,71.45,42.1,115.75,118.83,531.1466667,56.775,117.29,-2.908089723,-1.850921534,0.133222557,0.277215238,0.000166106
ENSMUSG00000005716.16,Pvalb,796.26,598.29,783.17,91.01,47.92,263.4,265.42,725.9066667,69.465,264.41,-3.065149768,-1.132725338,0.119480761,0.456053399,0.000167012
ENSMUSG00000023092.16,Fhl1,398.93,217.16,413.65,23.79,44.79,124.54,122.26,343.2466667,34.29,123.4,-3.048115463,-1.146788716,0.120899865,0.451629392,0.000167394
