gene_name,gene_id,CCT1,CCT2,CEA1,CEA2,CMA1,CMA2,CLA1,CLA2,CC1,CC2,CC3,CRT1,CRT2,CRT3
Prim2,ENSMUSG00000026134.11,35.58144925,34.90194626,26.99496236,41.68916897,23.79106712,16.62717981,38.58700658,38.76123587,21.18047681,24.62853117,20.97183519,63.7734323,66.1238571,59.63366803
Lpp,ENSMUSG00000033306.14,4.630298929,4.647957664,4.635430905,2.910536347,2.540594264,2.85534504,2.498477745,4.035973323,2.60470744,2.177501769,2.66799122,10.37247666,9.036865824,9.702931357
Hspb7,ENSMUSG00000006221.7,0.228793319,0.224982748,0.243695521,0.188046581,0.261220657,0.059408751,0.401612124,0.42465545,0.200941363,0.203584014,0.224026456,0.998262216,0.966418698,0.859715357
Zbtb49,ENSMUSG00000029127.15,71.55682652,69.30859174,69.47953179,48.8277047,58.22443468,74.47081431,29.30991987,29.43827541,48.17674855,47.20516254,45.91198824,185.3949993,152.6407254,195.9098522
Sorbs1,ENSMUSG00000025006.15,45.28882586,51.41352325,50.19160788,91.90462122,102.7201588,32.92512068,168.6194404,184.9583371,75.84229899,79.43825003,80.89260212,333.443866,355.2195283,334.7584197
Lyplal1,ENSMUSG00000039246.8,5.242969512,3.838305102,4.438532705,3.354437549,2.825739684,3.696211075,1.642000961,1.39816626,2.024340226,1.67425182,2.452678667,9.125858934,9.521087768,9.112530244
Icmt,ENSMUSG00000039662.16,26.44247796,26.99405045,28.09696834,25.70517627,23.96770219,32.30741523,27.47320729,24.6200763,19.30438232,19.74545722,17.58018625,60.82633293,47.31509091,52.70734045
Mmp20,ENSMUSG00000018620.2,0.326966244,0.242177243,0.368633757,0.549540421,0.634184754,0.301440338,1.231334811,1.396463968,1.008519554,0.513457943,0.677720887,3.185325971,3.826653484,2.496588064
Trim29,ENSMUSG00000032013.5,1.600883753,1.609437037,1.060071954,0.688920122,1.131770141,1.941448964,1.224934366,1.184984384,1.354753308,1.23428172,1.058150831,4.347683065,3.451908938,4.302267326
Myo5a,ENSMUSG00000034593.16,24.95013155,21.60310676,13.48855414,14.12659492,13.40553677,21.14076932,16.45893724,14.46662646,8.920439569,10.97822687,11.04922471,33.64397745,33.6904724,36.28695794
Coq5,ENSMUSG00000041733.10,60.61875739,48.61724769,50.37314654,47.01252435,61.55404688,57.98907545,53.58017999,53.89286172,35.9505101,38.89850005,37.56469376,130.8679488,130.1998015,128.7801917
Ttc28,ENSMUSG00000033209.17,4.000480484,5.167657346,6.186918822,6.784458191,4.79029383,4.598360831,16.0843959,13.42909153,7.852390132,11.14091854,7.634843481,39.02376823,29.10904043,34.80723071
