gene_name,gene_id,DCT1,DCT2,DEA1,DEA2,DMA1,DMA2,DMA3,DLA1,DLA2,DLA3,DC2,DC1,DRT2,DRT1
Zfp574,ENSMUSG00000045252.11,264.7764107,280.5557121,246.0886544,232.4309678,78.09248203,73.16803341,74.94891099,24.17967267,22.18782264,26.11474521,101.2655941,104.9132537,193.2398506,182.3683603
Krt31,ENSMUSG00000048981.1,7.966215362,8.169773915,16.60796239,14.97850201,0.770097466,0.578524179,0.463113665,0.358664325,0.243401145,0.206653545,0.44719619,0.510785529,4.50187494,5.864364045
Mms22l,ENSMUSG00000045751.16,1263.386465,1286.421018,1345.392609,1410.803683,336.178886,336.6347521,372.6939415,89.35576752,92.49697619,93.321199,492.3294449,498.904461,898.8834101,872.4221562
Thtpa,ENSMUSG00000045691.13,775.0546113,743.2871486,596.7842723,628.3846488,170.2168801,171.2762956,202.3392231,57.76392902,60.04282547,58.15209565,453.6463712,478.1017586,516.4291932,500.4906864
Eif4e,ENSMUSG00000028156.12,2.901020078,3.272640689,3.670231639,3.544656179,1.152260679,0.601626791,0.799794485,0.892793357,1.139252692,1.24797235,1.223280924,1.189674464,2.062588617,2.375032129
Hbq1a,ENSMUSG00000020295.1,5.379499432,5.550116818,4.45197798,4.221571507,1.946421622,1.99539188,1.609308621,1.166793874,1.345071829,0.975274194,1.61188646,1.079708354,3.985946196,3.518025053
Arpc2,ENSMUSG00000006304.14,119.8967004,122.3912118,123.9071696,114.2907999,23.59124496,25.4016719,24.31312952,9.14840328,7.980365826,10.51214435,50.78547862,53.99076135,81.40638418,75.54524775
Ddx54,ENSMUSG00000029599.13,1514.825606,1501.363883,1639.965013,1507.022414,479.4814883,493.8682499,491.3875071,136.854765,130.033825,126.5389854,655.965463,664.621439,978.0817283,1009.160073
Dmp1,ENSMUSG00000029307.7,35.47021273,35.50324509,42.51267337,42.47131981,18.64159953,17.1466688,16.44853439,8.590097779,8.961393893,9.639800872,11.97875028,11.08035793,26.931239,27.87687892
Rgs11,ENSMUSG00000024186.15,181.7760395,177.2873297,177.0501776,160.5419431,50.16352968,49.83405825,54.0960602,19.47233509,30.64846165,22.19780132,131.9621159,150.4192145,129.3363143,129.9931324
Ube2v2,ENSMUSG00000022674.14,12.80033014,11.74378615,10.81618097,11.3422893,4.468151221,4.964960852,4.521752006,3.285058622,4.121658385,3.348354603,3.002755585,4.147273852,8.281455838,8.449443453
Trim62,ENSMUSG00000041000.8,3.189750451,3.389948288,2.570660791,3.038166879,0.959883614,0.938197501,0.922162979,0.675437756,0.4950685,0.574663832,0.615848461,1.122716055,2.38020193,2.027992011
N4bp1,ENSMUSG00000031652.10,7.892956077,8.310324357,8.887406372,8.581600254,3.067619263,2.089005343,3.440973853,1.217455507,1.028023532,1.258873465,4.525632472,5.030852194,6.35736341,5.988023356
Mrps15,ENSMUSG00000028861.13,8.060412399,9.256957544,9.424085621,9.354881142,3.11315519,2.339604751,2.274406018,0.625936244,0.753466374,0.737926248,2.186928,3.369779454,6.029957296,5.531230053
Ajuba,ENSMUSG00000022178.10,8.317066941,8.134918554,13.95778557,12.48561103,3.251731718,2.698913977,2.712752877,0.979498996,0.588446231,0.362096857,1.781279984,1.039661771,5.241368367,5.794085395
Rnft2,ENSMUSG00000032850.16,1.070352167,1.406958519,0.94717237,0.865142735,0.272729688,0.187411272,0.206190279,0.155574309,0.305201942,0.358989872,0.268072514,0.42249513,0.504630762,0.650452601
Slc30a3,ENSMUSG00000029151.14,7.51950837,7.084489786,6.77618646,6.951548748,2.108116585,3.034721295,3.694677986,1.633383406,1.22480048,1.017024649,5.282532301,5.097313064,5.980069018,5.283622444
Lmf2,ENSMUSG00000022614.7,1.507686443,1.725136096,2.192910135,2.800052837,0.453300708,0.954573356,0.493808262,0.165296173,0.324692038,0.134906747,0.36757891,0.471545645,1.029286509,1.132579019
