gene_name,VCT1,VCT2,VCT3,VEA1,VEA2,VEA3,VMA1,VMA2,VLA1,VLA2,VLA3,VC1,VC2,VRT2,VRT1
Mmp19,10.05826614,7.342742614,6.891890154,14.50142193,13.04765846,12.17616174,21.12892926,22.99522414,15.12806883,14.66500378,14.50448851,10.93977473,12.9621061,11.27137313,15.39226659
1700015E13Rik,0.657528775,0.855967865,0.533304817,0.95584216,1.208099561,1.359203575,2.21631351,2.225808856,0.667535835,0.475238069,0.678149854,0.574884873,1.124606158,0.945445287,0.766185815
Cdc40,26.11848039,28.42702539,19.05743524,10.20865327,9.389339975,8.700349449,68.99431835,73.32222923,45.1808961,44.94930028,42.06240572,52.0832346,41.1112419,29.61604135,36.88004091
Adam3,4.695913682,6.336632252,4.443979501,5.200230069,4.876506899,4.775501167,13.49310449,13.7502849,9.895986093,10.3324339,9.559828018,8.70236497,7.958357766,7.828336145,5.974956935
8430429K09Rik,25.3608526,30.46038441,34.4788107,48.21492085,44.65809098,37.16443147,109.6489954,103.5829556,64.31158243,69.36989022,68.61090479,80.59680841,79.95064951,42.18494221,54.11700926
Slc39a5,15.58946619,16.79093293,13.03813994,11.40213009,12.06506349,12.12795842,39.10280191,35.07345082,27.27404573,26.8688778,29.68888419,25.70200027,23.07622627,21.52326169,24.94048678
Slirp,18.18495306,23.28679406,18.9042606,11.55458352,11.99331163,10.55999532,53.66617441,48.89795459,38.83861497,42.29476478,41.22304983,43.28530659,45.27472463,24.24805149,33.29249867
Mmd,65.80769364,58.2626735,58.54100548,37.47715809,36.44106044,36.46131355,173.6668147,175.0666631,121.8146578,111.1375164,115.2597719,112.8568523,120.8003488,97.5518959,117.1462666
Pld2,59.02888244,65.63465087,65.98529884,49.78210842,54.74755663,55.45649431,174.7871953,168.8157707,158.1128453,161.5978395,161.0083763,142.9987935,143.1394423,52.84974893,103.7461131
Clstn2,107.5914346,102.5963713,100.2603269,178.4546431,170.2295523,181.6356406,264.2956052,244.0730506,132.1289804,133.8963149,139.0599243,106.1527317,128.0101934,151.1719456,154.2054396
Wdr53,11.6199643,15.43980888,13.33395302,15.24811537,17.48392493,15.35360284,36.61692414,32.23665395,22.01569806,22.60629209,23.84638159,18.38788496,16.96104042,19.18408251,24.66590696
Ttc3,1.943466562,2.680125496,3.322047133,4.292420491,3.243489904,3.736894489,8.347182039,9.722078944,5.660812558,4.497323109,4.808798705,6.353959328,6.468754602,4.140169998,6.41177995
Trmu,23.13714558,26.33576507,25.28402747,28.68687014,31.61809316,35.7669067,93.58841234,86.63882739,32.1908351,34.80375505,30.38960211,28.01516997,26.32988594,34.5101578,31.58415017
Apbb1,41.06524566,49.1492735,44.30152665,54.06597448,53.77313687,51.44933967,108.4666854,111.1314887,83.40005351,88.57780144,83.87405033,62.55971407,64.48177077,29.72796916,62.37362898
Tulp4,37.9113502,41.43102915,37.71789677,33.31078198,35.78527316,35.55673637,124.1384316,105.4786103,56.40417138,57.87984985,59.04055863,56.88158099,51.83000323,46.4538162,52.91391727
Fam178b,5.022244005,7.453631041,7.329498459,8.899746014,7.330670148,7.168931483,19.36417552,17.65871751,10.24547607,13.59806968,11.60263569,13.66699571,11.67381344,11.16721457,9.207571477
Sprr2b,0.303558518,0.339873444,0.380125595,0.174609573,0.347882892,0.083520186,1.253892206,1.334632852,0.396729804,0.597099783,0.510727942,0.50964803,0.809398952,0.691918749,0.625033732
Alpk1,19.15583477,21.58655589,19.74089077,17.69035299,19.55087491,20.54761787,48.07506418,46.98711827,37.02576242,39.54836588,36.3876473,32.38280958,31.83621827,19.53810079,22.70508953
Mea1,8.687136475,9.587467988,9.802347246,6.976525722,8.456600372,6.6567624,31.395872,24.90773032,15.15834879,16.47049289,15.56780513,15.06332288,14.431833,13.93635939,15.40611563
Cdh20,1.934813106,1.60191617,1.211134416,1.202971734,1.267209536,1.026123434,3.001390505,3.304049181,1.701732363,1.754384114,1.578927181,1.74412371,1.833065957,1.488299297,1.118937042
Ttc17,10.43636519,7.731391383,8.803977657,8.528216121,8.205699293,8.510540275,20.80250843,20.35498016,14.48299469,15.30338584,15.29485385,14.51990359,14.036611,8.125395634,11.21432471
Hgh1,30.96322616,32.41027275,29.96606707,11.7470183,12.33860153,11.78406447,75.57392506,75.8855753,52.4667559,56.42286465,51.54249176,53.88385557,55.45581329,38.17787594,42.98575421
Csnk1g2,112.4318952,104.51738,111.427888,151.5755182,155.6822882,152.9037044,236.9589239,294.9471316,145.1707469,152.1750763,159.807813,137.4002648,133.4504823,136.7800883,162.391542
Sde2,52.87036561,65.49197041,54.09817354,49.18142828,55.46981728,55.44639275,203.7047858,165.8705522,62.94663177,69.18935191,67.41182612,57.01843907,58.99388364,53.13469232,66.04049289
Scnn1b,49.75531465,48.00869202,40.92126181,26.89837753,31.22276586,30.76203748,86.2944814,86.6202335,61.70150981,58.56327686,58.06361195,63.10359677,59.36744083,73.93064128,64.78981866
Mbnl2,27.69213859,36.12400391,27.50707866,22.0279868,25.3172853,23.83798478,65.48276707,64.79459059,43.03310246,47.03797996,42.53200226,41.72204762,35.91451463,24.04332787,32.84964885
Cuedc2,28.55867317,31.1845191,29.46851432,25.35730164,23.42953742,24.35686738,68.88026339,62.32322696,44.64419087,42.5938882,43.56197818,42.61293331,41.2113685,46.04453794,45.35780506
Fam207a,17.63831896,18.87097531,14.64341885,13.32814058,13.6829409,15.51769321,36.46865157,36.5307552,19.88971929,19.7893876,19.74303177,18.95988445,17.06217969,12.11831076,19.92905918
Rogdi,0.354268749,0.312353666,0.406584976,0.506969538,0.568701333,0.604915489,0.91636177,0.896557506,0.573862407,0.578071409,0.55349126,0.172681497,0.406308748,0.565603782,0.57457264
Krt10,52.8440609,47.17415853,35.36652384,28.20158497,32.14912855,32.16191225,76.12052808,75.79400859,42.36903745,47.84438743,44.70474167,46.02133483,37.60541453,44.86596605,43.42504936
Ergic2,2.916709869,3.196005196,2.888380126,3.099358467,3.513715482,3.625106557,6.249101377,6.511253841,2.791373821,3.078557219,2.874965491,2.319289227,3.318744212,5.226439046,4.281870974
Gart,91.08002895,92.46895158,82.5202761,83.59484871,85.36131342,88.10463103,170.2786903,165.7532871,106.2876609,110.1293207,104.2014396,96.83577276,100.9867383,102.8504753,114.6939752
